training_center,course_id,participant_id,difficulty_level,score
Mountain Base,C073,P03411,medium,77.4
Forest Edge,C046,P01744,easy,82.3
Desert Camp,C024,P01995,medium,71.2
Mountain Base,C067,P03145,easy,61.5
North Ridge,C019,P02561,easy,80.1
Forest Edge,C035,P03189,medium,65.2
Forest Edge,C037,P03265,easy,96.6
North Ridge,C019,P04977,easy,72.6
Forest Edge,C036,P03501,medium,69.9
Forest Edge,C045,P05152,hard,47.5
Mountain Base,C068,P05832,medium,97.4
North Ridge,C002,P05312,medium,94.4
Mountain Base,C066,P04605,hard,52.9
North Ridge,C008,P02439,easy,89.6
Forest Edge,C039,P00693,medium,65.6
North Ridge,C012,P01637,medium,63.5
Forest Edge,C056,P00353,medium,72.3
Mountain Base,C070,P03882,medium,79.3
Forest Edge,C043,P05252,medium,53.3
Forest Edge,C037,P05852,easy,94.2
Mountain Base,C066,P03779,hard,62.1
Desert Camp,C033,P05230,easy,71.0
Mountain Base,C062,P03525,hard,66.8
Forest Edge,C048,P05906,medium,65.4
Desert Camp,C033,P04361,easy,95.9
Forest Edge,C049,P02619,medium,67.3
Forest Edge,C050,P04932,medium,38.7
Mountain Base,C063,P01328,hard,67.9
North Ridge,C003,P01177,medium,88.1
Desert Camp,C030,P04727,medium,63.7
Mountain Base,C061,P02516,easy,59.0
Desert Camp,C027,P02399,easy,85.2
Forest Edge,C046,P00154,easy,74.5
Desert Camp,C021,P02042,easy,71.7
Mountain Base,C060,P05966,medium,66.3
Forest Edge,C050,P05514,medium,76.5
Forest Edge,C039,P05214,medium,66.0
Desert Camp,C021,P03900,easy,70.7
Forest Edge,C035,P05483,medium,63.6
Desert Camp,C031,P04585,hard,55.6
Desert Camp,C029,P03958,medium,71.6
North Ridge,C003,P04743,medium,96.7
Desert Camp,C025,P03206,medium,67.3
Desert Camp,C032,P02195,medium,49.6
Mountain Base,C062,P04449,hard,49.2
Forest Edge,C038,P01396,medium,60.3
Desert Camp,C030,P05323,medium,70.5
North Ridge,C010,P04058,medium,75.2
Forest Edge,C041,P00814,medium,66.8
Mountain Base,C060,P02838,medium,99.2
Forest Edge,C056,P02787,medium,74.3
Mountain Base,C070,P01251,medium,59.3
Mountain Base,C059,P00072,medium,84.2
Forest Edge,C044,P02731,medium,68.1
Forest Edge,C048,P04630,medium,80.6
Mountain Base,C064,P04332,hard,53.1
Desert Camp,C027,P00263,easy,81.8
Mountain Base,C062,P04625,hard,53.2
North Ridge,C002,P02138,medium,54.1
Desert Camp,C026,P03961,medium,48.5
North Ridge,C004,P01789,hard,86.6
Forest Edge,C052,P04208,medium,68.2
Desert Camp,C021,P04253,easy,91.7
North Ridge,C019,P03381,easy,81.0
Mountain Base,C057,P01771,medium,82.5
Desert Camp,C023,P04290,hard,53.9
Desert Camp,C021,P05304,easy,72.1
Forest Edge,C041,P04290,medium,64.3
Forest Edge,C035,P05199,medium,63.4
Desert Camp,C029,P00926,medium,62.1
Forest Edge,C056,P04452,medium,41.1
Desert Camp,C021,P04839,easy,67.6
Mountain Base,C069,P00584,medium,71.5
Forest Edge,C048,P02385,medium,72.5
Forest Edge,C037,P03025,easy,74.8
Forest Edge,C053,P05632,easy,78.2
Desert Camp,C032,P02890,medium,65.6
Mountain Base,C070,P04559,medium,83.4
North Ridge,C002,P02379,medium,58.7
Forest Edge,C043,P01796,medium,81.4
Forest Edge,C037,P05817,easy,100.0
North Ridge,C004,P02345,hard,63.0
Mountain Base,C060,P04400,medium,63.2
Desert Camp,C030,P02356,medium,63.7
Desert Camp,C034,P04956,medium,93.2
North Ridge,C005,P03693,medium,72.3
Mountain Base,C061,P02933,easy,78.6
Forest Edge,C049,P03590,medium,74.0
North Ridge,C016,P02770,easy,87.4
Mountain Base,C074,P03667,medium,77.5
Forest Edge,C038,P00295,medium,71.7
North Ridge,C008,P03043,easy,76.9
Mountain Base,C071,P05823,medium,65.7
Forest Edge,C042,P02338,medium,87.4
North Ridge,C010,P01914,medium,69.1
Mountain Base,C061,P00826,easy,77.6
North Ridge,C016,P00185,easy,76.6
Forest Edge,C056,P00546,medium,92.9
Mountain Base,C068,P01378,medium,55.3
Mountain Base,C073,P00627,medium,75.0
Forest Edge,C044,P04256,medium,68.3
Desert Camp,C028,P05229,easy,66.8
Forest Edge,C044,P04024,medium,63.1
Desert Camp,C034,P02848,medium,57.3
North Ridge,C019,P04724,easy,92.9
Forest Edge,C055,P05747,medium,56.7
North Ridge,C005,P01568,medium,76.3
Forest Edge,C051,P02253,medium,74.2
North Ridge,C019,P04173,easy,84.4
North Ridge,C004,P00240,hard,67.4
Mountain Base,C064,P05143,hard,49.8
North Ridge,C002,P04061,medium,68.8
Mountain Base,C075,P04493,medium,73.0
Mountain Base,C063,P05212,hard,59.4
Mountain Base,C063,P00485,hard,46.1
North Ridge,C002,P02595,medium,68.7
North Ridge,C014,P03753,easy,83.5
North Ridge,C013,P00969,easy,83.5
Forest Edge,C052,P04760,medium,37.7
Mountain Base,C058,P04339,easy,82.5
Desert Camp,C030,P03348,medium,89.1
North Ridge,C001,P02376,medium,87.4
Mountain Base,C075,P02952,medium,67.0
Desert Camp,C026,P05226,medium,64.6
Forest Edge,C045,P05032,hard,65.5
Forest Edge,C049,P01023,medium,80.6
Forest Edge,C043,P05473,medium,85.0
Forest Edge,C050,P05783,medium,53.7
Mountain Base,C067,P01748,easy,77.0
Forest Edge,C043,P04021,medium,60.5
Desert Camp,C023,P01571,hard,60.0
Desert Camp,C026,P01225,medium,72.3
Forest Edge,C054,P01647,easy,86.5
Desert Camp,C030,P01293,medium,74.1
Desert Camp,C028,P00808,easy,88.2
Forest Edge,C049,P02032,medium,73.5
Forest Edge,C052,P04121,medium,67.6
Desert Camp,C023,P00939,hard,66.6
North Ridge,C002,P01569,medium,72.1
Forest Edge,C038,P01167,medium,55.6
Mountain Base,C070,P03604,medium,90.9
Forest Edge,C039,P02157,medium,55.7
Forest Edge,C042,P00747,medium,91.0
Mountain Base,C069,P03510,medium,73.5
North Ridge,C002,P01528,medium,68.4
Forest Edge,C048,P05712,medium,75.7
Desert Camp,C027,P02062,easy,86.5
Mountain Base,C063,P04474,hard,36.1
Forest Edge,C054,P00583,easy,65.2
Forest Edge,C054,P01968,easy,89.4
North Ridge,C001,P01933,medium,83.6
Forest Edge,C038,P04108,medium,74.7
Forest Edge,C039,P03250,medium,55.7
North Ridge,C001,P02251,medium,80.1
North Ridge,C002,P04212,medium,83.9
Forest Edge,C044,P01329,medium,65.5
North Ridge,C018,P03354,hard,54.7
Forest Edge,C037,P02058,easy,84.6
North Ridge,C016,P03690,easy,94.4
Mountain Base,C058,P05003,easy,85.7
Forest Edge,C048,P03273,medium,66.1
Forest Edge,C046,P03348,easy,72.7
Mountain Base,C064,P03647,hard,64.3
North Ridge,C012,P02892,medium,73.7
Mountain Base,C066,P01128,hard,75.0
Forest Edge,C039,P03732,medium,65.3
Forest Edge,C054,P04163,easy,89.4
Mountain Base,C065,P02192,medium,85.5
Forest Edge,C052,P03948,medium,72.7
Mountain Base,C071,P04660,medium,66.8
Forest Edge,C056,P01088,medium,83.3
Forest Edge,C048,P03218,medium,54.9
Desert Camp,C020,P04946,hard,75.3
Forest Edge,C052,P00542,medium,91.4
