event_date,region,park_name,team_id,team_name,volunteer_id,volunteer_experience,minutes_observed,weather,fireflies_counted
2025-07-16,Appalachia,Cedar Echo Preserve,T098,Dusk Patrol 98,V02924,intermediate,20,humid,15
2025-08-21,Coastal,Driftwood Cove,T079,Dusk Patrol 79,V01151,intermediate,20,foggy,10
2025-07-03,Northwoods,Silver Fern Preserve,T013,Dusk Patrol 13,V00559,beginner,30,clear,19
2025-07-22,Riverlands,Blue Heron Point,T042,Field Flickers 42,V03690,beginner,60,cloudy,40
2025-06-29,Appalachia,Moss Lantern Park,T094,Spark Scouts 94,V02430,advanced,40,clear,35
2025-07-15,Northwoods,Pine Hollow Park,T002,Twilight Counters 2,V03282,intermediate,60,cloudy,52
2025-06-01,Coastal,Driftwood Cove,T081,Lantern Watch 81,V02672,beginner,30,humid,18
2025-08-22,Coastal,Harbor Mist Park,T072,Twilight Counters 72,V01832,intermediate,75,clear,39
2025-06-24,Appalachia,Moss Lantern Park,T089,Lantern Watch 89,V01577,intermediate,60,foggy,35
2025-08-21,High Plains,Sage Flat Park,T061,Moon Chasers 61,V03077,beginner,40,cloudy,13
2025-08-03,Northwoods,Silver Fern Preserve,T013,Dusk Patrol 13,V02565,beginner,30,cloudy,14
2025-07-05,Coastal,Driftwood Cove,T076,Glow Seekers 76,V00226,advanced,40,cloudy,20
2025-08-06,Appalachia,Cedar Echo Preserve,T098,Dusk Patrol 98,V00844,advanced,30,humid,18
2025-07-12,Riverlands,Willow Marsh,T032,Spark Scouts 32,V03112,intermediate,60,cloudy,35
2025-06-07,Northwoods,Silver Fern Preserve,T014,Twilight Counters 14,V01830,beginner,30,cloudy,14
2025-07-16,Appalachia,Moss Lantern Park,T089,Lantern Watch 89,V02005,beginner,60,humid,49
2025-08-15,High Plains,Dry Creek Reserve,T054,Field Flickers 54,V02425,advanced,45,foggy,19
2025-06-01,Appalachia,Blackberry Ridge,T083,Moon Chasers 83,V02653,intermediate,40,humid,37
2025-08-11,Riverlands,Willow Marsh,T029,Lantern Watch 29,V01265,beginner,75,humid,57
2025-06-12,Coastal,Saltwind Dunes,T065,Twilight Counters 65,V01621,beginner,45,foggy,13
2025-07-31,Appalachia,Cedar Echo Preserve,T096,Dusk Patrol 96,V00472,advanced,40,clear,39
2025-06-27,Appalachia,Blackberry Ridge,T087,Twilight Counters 87,V03953,beginner,60,clear,62
2025-08-11,Coastal,Driftwood Cove,T081,Lantern Watch 81,V01020,advanced,45,clear,38
2025-06-15,Appalachia,Cedar Echo Preserve,T097,Field Flickers 97,V03734,advanced,60,cloudy,54
2025-06-08,Appalachia,Blackberry Ridge,T086,Moon Chasers 86,V03978,intermediate,30,humid,32
2025-08-19,Northwoods,Pine Hollow Park,T007,Twilight Counters 7,V03527,advanced,60,light_rain,32
2025-08-28,Riverlands,Blue Heron Point,T038,Dusk Patrol 38,V00487,advanced,40,cloudy,36
2025-07-18,Appalachia,Cedar Echo Preserve,T098,Dusk Patrol 98,V01108,intermediate,90,clear,85
2025-08-08,Appalachia,Blackberry Ridge,T084,Lantern Watch 84,V00565,intermediate,45,cloudy,48
2025-07-05,Riverlands,Otter Bend Park,T026,Spark Scouts 26,V02594,beginner,40,clear,34
2025-08-02,Appalachia,Cedar Echo Preserve,T098,Dusk Patrol 98,V00180,intermediate,45,humid,33
2025-06-06,Riverlands,Willow Marsh,T031,Twilight Counters 31,V01122,intermediate,60,humid,43
2025-06-04,High Plains,Dry Creek Reserve,T053,Night Trackers 53,V00482,intermediate,75,cloudy,24
2025-06-26,High Plains,Prairie Star Field,T048,Field Flickers 48,V00176,beginner,30,foggy,6
2025-06-21,Riverlands,Otter Bend Park,T024,Lantern Watch 24,V03503,beginner,30,clear,15
2025-07-27,Coastal,Harbor Mist Park,T072,Twilight Counters 72,V01003,beginner,45,clear,22
2025-06-30,Coastal,Saltwind Dunes,T064,Lantern Watch 64,V00948,intermediate,20,clear,9
2025-06-03,Appalachia,Moss Lantern Park,T090,Spark Scouts 90,V01466,advanced,60,clear,48
2025-07-14,Riverlands,Willow Marsh,T032,Spark Scouts 32,V00241,beginner,60,humid,35
2025-06-13,Riverlands,Willow Marsh,T035,Night Trackers 35,V01492,intermediate,75,foggy,37
2025-08-29,Riverlands,Willow Marsh,T033,Glow Seekers 33,V00460,advanced,90,cloudy,75
2025-08-25,Northwoods,Moonlake Reserve,T020,Lantern Watch 20,V00187,advanced,60,humid,50
2025-07-29,High Plains,Sage Flat Park,T058,Spark Scouts 58,V01645,intermediate,45,humid,25
2025-08-15,Appalachia,Cedar Echo Preserve,T099,Moon Chasers 99,V00626,intermediate,75,clear,55
2025-08-14,Northwoods,Silver Fern Preserve,T013,Dusk Patrol 13,V03094,advanced,60,clear,44
2025-06-10,Riverlands,Otter Bend Park,T023,Moon Chasers 23,V00331,intermediate,75,cloudy,54
2025-08-13,Riverlands,Willow Marsh,T034,Glow Seekers 34,V03098,beginner,45,clear,26
2025-08-18,Appalachia,Cedar Echo Preserve,T099,Moon Chasers 99,V01963,advanced,20,humid,20
2025-07-14,Northwoods,Pine Hollow Park,T005,Dusk Patrol 5,V01097,beginner,45,light_rain,24
2025-07-08,Northwoods,Pine Hollow Park,T005,Dusk Patrol 5,V00103,intermediate,45,cloudy,25
2025-07-25,High Plains,Sage Flat Park,T063,Lantern Watch 63,V01857,advanced,40,clear,24
2025-07-05,Appalachia,Cedar Echo Preserve,T099,Moon Chasers 99,V01542,intermediate,40,foggy,22
2025-06-18,Coastal,Driftwood Cove,T078,Lantern Watch 78,V00344,intermediate,75,light_rain,25
2025-07-17,Riverlands,Willow Marsh,T035,Night Trackers 35,V00384,beginner,60,light_rain,23
2025-08-09,Riverlands,Blue Heron Point,T043,Moon Chasers 43,V03190,intermediate,60,foggy,33
2025-06-13,Riverlands,Otter Bend Park,T023,Moon Chasers 23,V00242,advanced,90,cloudy,97
2025-07-26,High Plains,Prairie Star Field,T046,Night Trackers 46,V00794,beginner,20,humid,6
2025-06-12,Northwoods,Moonlake Reserve,T018,Moon Chasers 18,V03461,intermediate,60,foggy,22
2025-06-21,Appalachia,Cedar Echo Preserve,T097,Field Flickers 97,V00338,beginner,40,foggy,29
2025-07-28,High Plains,Prairie Star Field,T046,Night Trackers 46,V03450,intermediate,90,clear,38
2025-06-05,Coastal,Driftwood Cove,T077,Spark Scouts 77,V03472,beginner,30,clear,10
2025-06-15,Riverlands,Blue Heron Point,T042,Field Flickers 42,V01235,intermediate,75,cloudy,55
2025-07-30,Appalachia,Blackberry Ridge,T082,Moon Chasers 82,V03795,advanced,75,clear,75
2025-06-27,Coastal,Harbor Mist Park,T074,Field Flickers 74,V01266,beginner,45,clear,16
2025-08-29,High Plains,Prairie Star Field,T048,Field Flickers 48,V01036,beginner,40,light_rain,4
2025-07-29,Coastal,Driftwood Cove,T081,Lantern Watch 81,V01765,intermediate,20,cloudy,14
2025-06-23,Appalachia,Blackberry Ridge,T083,Moon Chasers 83,V02660,beginner,30,humid,29
2025-08-20,Coastal,Driftwood Cove,T079,Dusk Patrol 79,V01222,advanced,45,humid,34
2025-06-18,Northwoods,Moonlake Reserve,T018,Moon Chasers 18,V01889,beginner,60,clear,35
2025-06-10,Appalachia,Blackberry Ridge,T082,Moon Chasers 82,V00670,advanced,30,clear,28
2025-07-28,High Plains,Prairie Star Field,T048,Field Flickers 48,V02722,advanced,90,clear,39
2025-07-11,Northwoods,Moonlake Reserve,T016,Dusk Patrol 16,V03971,intermediate,20,clear,10
2025-08-02,Appalachia,Blackberry Ridge,T082,Moon Chasers 82,V03193,beginner,75,light_rain,47
2025-07-07,Northwoods,Silver Fern Preserve,T012,Night Trackers 12,V01064,beginner,60,clear,35
2025-06-22,Riverlands,Blue Heron Point,T037,Lantern Watch 37,V00834,intermediate,20,cloudy,12
2025-08-01,Coastal,Harbor Mist Park,T073,Dusk Patrol 73,V00412,intermediate,60,light_rain,22
2025-06-05,Northwoods,Moonlake Reserve,T022,Spark Scouts 22,V01844,beginner,40,light_rain,7
2025-06-06,Northwoods,Pine Hollow Park,T004,Night Trackers 4,V03032,beginner,75,cloudy,31
2025-07-12,High Plains,Prairie Star Field,T044,Field Flickers 44,V03459,intermediate,30,clear,18
2025-06-10,Northwoods,Moonlake Reserve,T018,Moon Chasers 18,V02872,intermediate,30,humid,16
2025-08-06,High Plains,Dry Creek Reserve,T056,Glow Seekers 56,V00369,advanced,75,clear,49
2025-06-28,High Plains,Prairie Star Field,T045,Moon Chasers 45,V02224,beginner,40,clear,15
2025-06-16,Appalachia,Moss Lantern Park,T088,Lantern Watch 88,V01510,intermediate,90,clear,65
2025-08-04,Appalachia,Moss Lantern Park,T093,Moon Chasers 93,V01332,beginner,40,cloudy,30
2025-06-25,Coastal,Driftwood Cove,T080,Spark Scouts 80,V02915,beginner,60,light_rain,20
2025-08-26,Riverlands,Blue Heron Point,T038,Dusk Patrol 38,V03801,intermediate,75,clear,69
2025-07-10,Northwoods,Moonlake Reserve,T021,Dusk Patrol 21,V02238,beginner,60,cloudy,35
2025-06-12,High Plains,Dry Creek Reserve,T056,Glow Seekers 56,V03878,intermediate,60,clear,47
2025-07-25,High Plains,Dry Creek Reserve,T054,Field Flickers 54,V03552,intermediate,45,foggy,13
2025-08-21,Northwoods,Moonlake Reserve,T016,Dusk Patrol 16,V02335,beginner,30,light_rain,14
2025-07-08,Appalachia,Cedar Echo Preserve,T097,Field Flickers 97,V01716,beginner,45,humid,33
