unit,shift_id,responder_id,experience_level,rescue_attempts,successful_rescues
Unit Bravo,S00000,R00448,mid,5,3
Unit Alpha,S00001,R02936,senior,4,4
Unit Alpha,S00002,R04955,mid,11,9
Unit Alpha,S00003,R01137,mid,8,8
Unit Echo,S00004,R03376,mid,7,6
Unit Echo,S00005,R04896,junior,9,4
Unit Delta,S00006,R00742,junior,7,4
Unit Alpha,S00007,R03310,senior,6,5
Unit Bravo,S00008,R01718,mid,8,6
Unit Alpha,S00009,R04574,mid,3,2
Unit Echo,S00010,R04930,junior,10,5
Unit Bravo,S00011,R02299,mid,6,4
Unit Bravo,S00012,R01620,mid,7,6
Unit Delta,S00013,R01514,junior,4,3
Unit Delta,S00014,R04458,junior,4,3
Unit Echo,S00015,R01306,junior,6,4
Unit Delta,S00016,R02745,junior,8,2
Unit Bravo,S00017,R02170,mid,8,4
Unit Alpha,S00018,R02866,mid,6,5
Unit Delta,S00019,R00096,junior,3,2
Unit Bravo,S00020,R01489,mid,5,3
Unit Bravo,S00021,R00742,junior,4,4
Unit Alpha,S00022,R00764,junior,6,4
Unit Bravo,S00023,R04640,mid,1,1
Unit Delta,S00024,R04844,mid,7,5
Unit Bravo,S00025,R03261,junior,7,3
Unit Delta,S00026,R01688,mid,7,5
Unit Delta,S00027,R03768,senior,4,3
Unit Delta,S00028,R02416,mid,8,6
Unit Delta,S00029,R01478,senior,5,4
Unit Delta,S00030,R04780,mid,7,5
Unit Bravo,S00031,R02841,mid,6,2
Unit Echo,S00032,R02949,junior,6,5
Unit Delta,S00033,R04399,junior,6,5
Unit Delta,S00034,R04274,mid,7,4
Unit Delta,S00035,R01011,mid,2,2
Unit Bravo,S00036,R04607,mid,6,5
Unit Bravo,S00037,R03946,mid,4,4
Unit Delta,S00038,R02484,junior,9,6
Unit Bravo,S00039,R04893,junior,9,3
Unit Echo,S00040,R00349,junior,6,5
Unit Bravo,S00041,R01107,senior,7,7
Unit Bravo,S00042,R04861,mid,6,1
Unit Echo,S00043,R03153,junior,4,2
Unit Echo,S00044,R02336,mid,10,9
Unit Delta,S00045,R03593,mid,8,7
Unit Echo,S00046,R04993,junior,2,0
Unit Bravo,S00047,R03477,junior,6,3
Unit Echo,S00048,R04386,mid,3,3
Unit Bravo,S00049,R04251,mid,6,5
Unit Delta,S00050,R01646,mid,5,3
Unit Alpha,S00051,R00717,junior,8,6
Unit Bravo,S00052,R00668,senior,10,10
Unit Echo,S00053,R02849,mid,7,5
Unit Delta,S00054,R04202,mid,8,4
Unit Alpha,S00055,R00153,junior,5,2
Unit Echo,S00056,R01353,mid,9,6
Unit Delta,S00057,R04286,junior,5,3
Unit Echo,S00058,R01102,mid,5,2
Unit Delta,S00059,R00736,mid,6,2
Unit Echo,S00060,R00960,junior,6,1
Unit Echo,S00061,R01769,senior,5,5
Unit Echo,S00062,R04660,senior,4,3
Unit Bravo,S00063,R04346,mid,5,1
Unit Echo,S00064,R03749,senior,7,7
Unit Echo,S00065,R00920,junior,10,4
Unit Bravo,S00066,R01800,senior,4,4
Unit Bravo,S00067,R01574,mid,7,6
Unit Delta,S00068,R04686,junior,3,3
Unit Echo,S00069,R04395,junior,5,3
Unit Echo,S00070,R04255,junior,9,5
Unit Delta,S00071,R03065,junior,4,3
Unit Echo,S00072,R00511,junior,3,1
Unit Delta,S00073,R04606,junior,2,2
Unit Bravo,S00074,R01899,mid,6,5
Unit Delta,S00075,R03657,senior,5,5
Unit Bravo,S00076,R04925,mid,4,2
Unit Delta,S00077,R01591,senior,4,4
Unit Alpha,S00078,R04509,mid,7,5
Unit Bravo,S00079,R01741,senior,10,9
Unit Delta,S00080,R04666,mid,4,3
Unit Alpha,S00081,R01306,senior,6,6
Unit Bravo,S00082,R00816,junior,7,5
Unit Bravo,S00083,R00590,senior,7,4
Unit Echo,S00084,R00122,mid,8,7
Unit Bravo,S00085,R02577,senior,9,9
Unit Delta,S00086,R01415,senior,6,5
Unit Alpha,S00087,R00874,mid,3,3
Unit Echo,S00088,R03916,mid,4,4
Unit Bravo,S00089,R00250,junior,9,7
Unit Echo,S00090,R04211,mid,6,6
Unit Delta,S00091,R01086,mid,8,6
Unit Bravo,S00092,R01012,senior,4,4
Unit Bravo,S00093,R03640,junior,2,1
Unit Alpha,S00094,R03532,mid,10,7
Unit Delta,S00095,R02131,mid,8,5
Unit Delta,S00096,R03557,mid,5,4
Unit Echo,S00097,R02980,junior,1,0
Unit Delta,S00098,R04031,senior,7,7
Unit Bravo,S00099,R04854,mid,6,4
Unit Echo,S00100,R00901,mid,9,4
Unit Alpha,S00101,R00613,junior,9,9
Unit Delta,S00102,R03465,junior,4,3
Unit Delta,S00103,R02625,junior,6,3
Unit Alpha,S00104,R03514,senior,8,7
Unit Alpha,S00105,R03395,junior,4,4
Unit Alpha,S00106,R01304,mid,3,1
Unit Alpha,S00107,R01138,mid,4,4
Unit Delta,S00108,R00824,mid,4,3
Unit Echo,S00109,R03296,senior,6,6
Unit Delta,S00110,R00621,junior,7,5
Unit Delta,S00111,R02032,junior,4,2
Unit Delta,S00112,R01441,senior,5,3
Unit Echo,S00113,R02721,mid,6,4
Unit Bravo,S00114,R03908,mid,7,6
Unit Delta,S00115,R03164,junior,2,1
Unit Echo,S00116,R01000,junior,8,5
Unit Delta,S00117,R02938,mid,8,4
Unit Echo,S00118,R00889,senior,7,6
Unit Delta,S00119,R03289,mid,5,5
Unit Bravo,S00120,R03102,mid,5,4
Unit Alpha,S00121,R03023,senior,4,4
Unit Delta,S00122,R03111,mid,7,6
Unit Alpha,S00123,R00672,junior,6,4
Unit Echo,S00124,R01624,senior,4,4
Unit Bravo,S00125,R01903,mid,3,3
Unit Alpha,S00126,R00006,junior,6,3
Unit Delta,S00127,R01096,senior,3,3
Unit Alpha,S00128,R02097,senior,5,5
Unit Delta,S00129,R02704,senior,7,6
Unit Delta,S00130,R02441,mid,4,3
Unit Delta,S00131,R03643,senior,5,4
Unit Echo,S00132,R04836,mid,8,6
Unit Alpha,S00133,R03306,mid,6,4
Unit Bravo,S00134,R00531,junior,6,3
Unit Delta,S00135,R04546,junior,6,1
Unit Alpha,S00136,R01782,senior,5,5
Unit Alpha,S00137,R04371,mid,3,3
Unit Echo,S00138,R02122,mid,5,4
Unit Echo,S00139,R01596,junior,4,3
Unit Alpha,S00140,R01239,senior,7,5
Unit Bravo,S00141,R01136,mid,4,3
Unit Echo,S00142,R02424,mid,10,6
Unit Echo,S00143,R04152,junior,6,4
Unit Delta,S00144,R01692,senior,7,6
Unit Alpha,S00145,R01611,mid,8,6
Unit Bravo,S00146,R01029,junior,1,0
Unit Bravo,S00147,R04801,junior,5,2
Unit Echo,S00148,R03449,mid,8,6
Unit Delta,S00149,R03347,mid,5,4
Unit Alpha,S00150,R04530,junior,5,2
Unit Delta,S00151,R03855,junior,5,3
Unit Echo,S00152,R01223,junior,4,2
Unit Echo,S00153,R00975,mid,6,5
Unit Bravo,S00154,R02583,junior,8,5
Unit Delta,S00155,R01591,mid,7,6
Unit Alpha,S00156,R03133,junior,2,1
Unit Echo,S00157,R00856,senior,8,7
Unit Bravo,S00158,R01677,mid,5,4
Unit Alpha,S00159,R02853,junior,6,1
Unit Delta,S00160,R00038,mid,6,5
Unit Bravo,S00161,R00450,junior,3,1
Unit Echo,S00162,R03512,senior,4,4
Unit Echo,S00163,R03854,junior,9,5
Unit Delta,S00164,R04426,junior,4,1
Unit Echo,S00165,R00083,mid,2,2
Unit Alpha,S00166,R00962,mid,3,1
Unit Bravo,S00167,R02160,junior,6,2
Unit Delta,S00168,R00539,junior,8,7
Unit Delta,S00169,R03724,junior,8,6
Unit Bravo,S00170,R02422,junior,3,1
Unit Delta,S00171,R00772,junior,7,3
Unit Delta,S00172,R00939,mid,4,4
Unit Delta,S00173,R04575,junior,6,5
Unit Echo,S00174,R01410,junior,6,4
Unit Bravo,S00175,R02020,junior,3,1
Unit Delta,S00176,R03254,mid,5,5
Unit Bravo,S00177,R00027,senior,7,7
Unit Bravo,S00178,R03259,mid,5,4
Unit Bravo,S00179,R01023,mid,8,6
Unit Bravo,S00180,R03771,senior,3,3
Unit Echo,S00181,R04823,mid,7,4
Unit Bravo,S00182,R03115,senior,4,3
Unit Bravo,S00183,R00804,mid,4,4
Unit Alpha,S00184,R00730,junior,2,1
Unit Echo,S00185,R04532,junior,7,3
Unit Echo,S00186,R03075,mid,11,7
Unit Delta,S00187,R02063,mid,5,5
Unit Bravo,S00188,R04933,mid,4,2
Unit Echo,S00189,R00709,junior,3,3
Unit Echo,S00190,R00253,junior,9,4
Unit Alpha,S00191,R00542,mid,6,4
Unit Alpha,S00192,R01092,senior,3,3
Unit Echo,S00193,R01330,mid,7,5
Unit Alpha,S00194,R00272,junior,6,4
Unit Alpha,S00195,R03817,mid,10,8
Unit Echo,S00196,R03981,mid,3,2
Unit Bravo,S00197,R01009,mid,8,6
Unit Bravo,S00198,R01668,senior,7,7
Unit Delta,S00199,R02069,mid,11,7
Unit Delta,S00200,R02221,junior,6,2
Unit Delta,S00201,R04996,mid,9,8
Unit Alpha,S00202,R01564,senior,7,6
Unit Alpha,S00203,R01191,mid,7,5
Unit Alpha,S00204,R03969,junior,6,5
Unit Alpha,S00205,R00322,junior,6,3
Unit Echo,S00206,R04064,junior,3,0
Unit Delta,S00207,R04604,junior,4,1
Unit Alpha,S00208,R00451,senior,5,5
Unit Alpha,S00209,R00299,junior,4,1
Unit Bravo,S00210,R04085,mid,5,4
Unit Delta,S00211,R02315,senior,3,3
Unit Delta,S00212,R02752,mid,9,4
Unit Bravo,S00213,R01430,mid,4,2
Unit Delta,S00214,R04055,junior,4,2
Unit Alpha,S00215,R04201,senior,4,3
Unit Alpha,S00216,R00071,senior,5,5
Unit Delta,S00217,R00394,mid,4,3
Unit Alpha,S00218,R00589,mid,6,4
Unit Alpha,S00219,R00288,junior,3,0
Unit Alpha,S00220,R01137,junior,7,4
Unit Delta,S00221,R00285,junior,2,2
Unit Alpha,S00222,R00228,mid,5,4
Unit Delta,S00223,R04103,junior,6,3
Unit Delta,S00224,R02017,junior,10,4
Unit Bravo,S00225,R04957,mid,5,5
Unit Echo,S00226,R01963,senior,5,4
Unit Echo,S00227,R00599,senior,7,5
Unit Echo,S00228,R02453,junior,3,1
Unit Alpha,S00229,R03664,junior,4,4
Unit Bravo,S00230,R00202,mid,6,2
Unit Delta,S00231,R03480,mid,4,3
Unit Bravo,S00232,R00159,mid,4,4
Unit Bravo,S00233,R04666,senior,6,6
Unit Delta,S00234,R00457,mid,5,4
Unit Echo,S00235,R01172,junior,8,3
Unit Bravo,S00236,R00884,mid,5,5
Unit Alpha,S00237,R00808,mid,8,6
Unit Bravo,S00238,R00172,junior,3,2
Unit Echo,S00239,R01721,junior,6,3
Unit Delta,S00240,R01026,mid,4,4
Unit Alpha,S00241,R00655,mid,9,8
Unit Echo,S00242,R01333,junior,6,4
Unit Alpha,S00243,R03163,junior,5,2
Unit Alpha,S00244,R04985,mid,9,6
Unit Delta,S00245,R01134,mid,4,3
Unit Echo,S00246,R00633,senior,2,1
Unit Delta,S00247,R04424,junior,5,2
Unit Bravo,S00248,R03467,junior,4,3
Unit Echo,S00249,R02182,mid,6,6
Unit Alpha,S00250,R04637,junior,8,4
Unit Echo,S00251,R04981,mid,6,5
Unit Alpha,S00252,R04298,senior,5,5
Unit Bravo,S00253,R04100,mid,5,4
Unit Alpha,S00254,R04092,mid,6,5
Unit Delta,S00255,R02030,mid,6,4
Unit Alpha,S00256,R04057,senior,7,6
Unit Bravo,S00257,R03199,senior,5,5
Unit Alpha,S00258,R02979,junior,5,2
Unit Bravo,S00259,R01393,mid,9,5
Unit Alpha,S00260,R00233,junior,4,4
Unit Echo,S00261,R04533,senior,5,4
Unit Delta,S00262,R04629,senior,5,5
Unit Bravo,S00263,R03601,junior,11,7
Unit Bravo,S00264,R00069,junior,4,3
Unit Alpha,S00265,R03797,mid,5,4
Unit Bravo,S00266,R00943,junior,7,4
Unit Bravo,S00267,R02452,junior,4,1
Unit Bravo,S00268,R04221,mid,5,3
Unit Bravo,S00269,R02838,senior,5,4
Unit Echo,S00270,R02480,junior,10,8
Unit Bravo,S00271,R02032,junior,5,3
Unit Alpha,S00272,R02974,junior,5,3
Unit Delta,S00273,R01133,mid,10,7
Unit Delta,S00274,R01980,junior,6,4
Unit Bravo,S00275,R02984,senior,6,5
Unit Alpha,S00276,R01623,senior,6,6
Unit Delta,S00277,R02712,junior,3,3
Unit Echo,S00278,R03881,junior,2,1
Unit Delta,S00279,R00261,mid,12,8
Unit Alpha,S00280,R01176,mid,7,7
Unit Alpha,S00281,R02384,mid,3,3
Unit Alpha,S00282,R00662,senior,5,5
Unit Echo,S00283,R03216,junior,4,3
Unit Alpha,S00284,R01435,mid,7,7
Unit Alpha,S00285,R03640,mid,8,6
