location_id,device_id,reading_timestamp,firmware_version,sensor_type,reading_value,status_flag
LOC_A,D0013,2023-03-09 11:56:00,1.1,temperature,54.97,ok
LOC_B,D0053,2023-03-03 14:16:00,2.0,pressure,48.62,ok
LOC_D,D0017,2023-01-03 17:05:00,1.0,temperature,56.48,ok
LOC_A,D0288,2023-01-19 02:22:00,2.0,pressure,65.23,error
LOC_D,D0113,2023-02-10 21:18:00,2.0,humidity,47.66,ok
LOC_B,D0217,2023-01-31 23:17:00,1.1,temperature,47.66,ok
LOC_C,D0053,2023-01-09 10:36:00,1.1,temperature,65.79,warning
LOC_C,D0136,2023-03-15 11:11:00,1.0,pressure,57.67,warning
LOC_A,D0194,2023-01-08 04:08:00,2.0,humidity,45.31,error
LOC_C,D0296,2023-01-18 12:03:00,2.0,temperature,55.43,ok
LOC_B,D0149,2023-01-08 06:18:00,1.0,temperature,45.37,warning
LOC_C,D0233,2023-02-27 20:40:00,1.1,temperature,45.34,warning
LOC_C,D0108,2023-03-03 00:01:00,1.1,pressure,52.42,error
LOC_A,D0088,2023-02-18 14:50:00,2.0,temperature,30.87,ok
LOC_D,D0195,2023-01-25 13:42:00,2.0,pressure,32.75,error
LOC_B,D0167,2023-03-18 17:14:00,1.0,temperature,44.38,ok
LOC_C,D0206,2023-01-25 08:53:00,1.0,temperature,39.87,error
LOC_C,D0109,2023-03-01 15:49:00,1.1,humidity,53.14,error
LOC_D,D0074,2023-01-25 02:38:00,1.0,temperature,40.92,error
LOC_C,D0300,2023-02-08 23:55:00,2.0,humidity,35.88,warning
LOC_B,D0071,2023-02-16 09:04:00,1.1,temperature,64.66,ok
LOC_A,D0079,2023-02-27 02:40:00,1.0,pressure,47.74,warning
LOC_A,D0198,2023-02-04 17:39:00,2.0,humidity,50.68,error
LOC_C,D0284,2023-03-20 08:24:00,1.0,pressure,35.75,error
LOC_A,D0275,2023-03-10 08:19:00,1.1,pressure,44.56,warning
LOC_A,D0151,2023-02-09 13:45:00,1.0,humidity,51.11,ok
LOC_C,D0257,2023-03-11 08:31:00,1.0,pressure,38.49,ok
LOC_C,D0260,2023-02-25 10:18:00,1.0,temperature,53.76,warning
LOC_B,D0277,2023-03-28 18:57:00,2.0,temperature,43.99,error
LOC_C,D0251,2023-01-02 18:32:00,1.0,humidity,47.08,warning
