game_id,team_id,is_home,coach_name
G0001,T03,True,Coach Johnson
G0002,T24,True,Coach Rivera
G0003,T20,True,Coach Adams
G0004,T14,True,Coach Kim
G0005,T13,True,Coach Kim
G0006,T26,True,Coach Patel
G0007,T03,True,Coach Rivera
G0008,T21,True,Coach Johnson
G0009,T07,True,Coach Kim
G0010,T03,True,Coach Rivera
G0011,T16,True,Coach Johnson
G0012,T30,True,Coach Johnson
G0013,T23,True,Coach Kim
G0014,T23,True,Coach Adams
G0015,T22,True,Coach Kim
G0016,T24,True,Coach Kim
G0017,T16,True,Coach Adams
G0018,T04,True,Coach Patel
G0019,T26,True,Coach Johnson
G0020,T14,True,Coach Adams
G0021,T16,True,Coach Patel
G0022,T12,True,Coach Adams
G0023,T06,True,Coach Patel
G0024,T28,True,Coach Kim
G0025,T24,True,Coach Adams
G0026,T20,True,Coach Johnson
G0027,T13,True,Coach Adams
G0028,T25,True,Coach Kim
G0029,T17,True,Coach Adams
G0030,T14,True,Coach Johnson
G0031,T14,True,Coach Patel
G0032,T07,True,Coach Johnson
G0033,T03,True,Coach Kim
G0034,T17,True,Coach Kim
G0035,T27,True,Coach Patel
G0036,T02,True,Coach Patel
G0037,T26,True,Coach Johnson
G0038,T25,True,Coach Adams
G0039,T09,True,Coach Patel
G0040,T19,True,Coach Adams
G0041,T05,True,Coach Rivera
G0042,T23,True,Coach Johnson
G0043,T22,True,Coach Rivera
G0044,T11,True,Coach Patel
G0045,T03,True,Coach Kim
G0046,T30,True,Coach Rivera
G0047,T14,True,Coach Rivera
G0048,T27,True,Coach Kim
G0049,T21,True,Coach Patel
G0050,T24,True,Coach Patel
G0051,T23,True,Coach Johnson
G0052,T06,True,Coach Johnson
G0053,T11,True,Coach Patel
G0054,T15,True,Coach Patel
G0055,T15,True,Coach Rivera
G0056,T02,True,Coach Kim
G0057,T17,True,Coach Adams
G0058,T05,True,Coach Rivera
G0059,T23,True,Coach Johnson
G0060,T21,True,Coach Kim
G0061,T28,True,Coach Adams
G0062,T23,True,Coach Patel
G0063,T11,True,Coach Johnson
G0064,T30,True,Coach Johnson
G0065,T13,True,Coach Rivera
G0066,T10,True,Coach Kim
G0067,T28,True,Coach Kim
G0068,T12,True,Coach Rivera
G0069,T03,True,Coach Rivera
G0070,T15,True,Coach Rivera
G0071,T24,True,Coach Johnson
G0072,T06,True,Coach Patel
G0073,T14,True,Coach Johnson
G0074,T04,True,Coach Johnson
G0075,T21,True,Coach Johnson
G0076,T15,True,Coach Adams
G0077,T10,True,Coach Johnson
G0078,T07,True,Coach Adams
G0079,T17,True,Coach Kim
G0080,T21,True,Coach Kim
G0081,T29,True,Coach Rivera
G0082,T14,True,Coach Adams
G0083,T05,True,Coach Adams
G0084,T25,True,Coach Johnson
G0085,T19,True,Coach Rivera
G0086,T22,True,Coach Rivera
G0087,T03,True,Coach Johnson
G0088,T10,True,Coach Adams
G0089,T24,True,Coach Johnson
G0090,T25,True,Coach Johnson
G0091,T14,True,Coach Kim
G0092,T25,True,Coach Adams
G0093,T26,True,Coach Adams
G0094,T12,True,Coach Rivera
G0095,T27,True,Coach Kim
G0096,T09,True,Coach Adams
G0097,T08,True,Coach Kim
G0098,T21,True,Coach Adams
G0099,T20,True,Coach Kim
G0100,T05,True,Coach Adams
G0101,T25,True,Coach Patel
G0102,T06,True,Coach Adams
G0103,T25,True,Coach Adams
G0104,T01,True,Coach Adams
