game_id,player_id,stat_type,stat_value,team_id_recorded
G0001,P0351,points,10,T03
G0001,P0351,rebounds,13,T03
G0001,P0351,assists,13,T03
G0001,P0306,points,23,T03
G0001,P0306,rebounds,9,T03
G0001,P0306,assists,2,T03
G0001,P0114,points,10,T03
G0001,P0114,rebounds,19,T03
G0001,P0114,assists,8,T03
G0001,P0186,points,12,T03
G0001,P0186,rebounds,8,T03
G0001,P0186,assists,9,T03
G0001,P0065,points,22,T03
G0001,P0065,rebounds,14,T03
G0001,P0065,assists,4,T03
G0001,P0081,points,26,T03
G0001,P0081,rebounds,9,T03
G0001,P0081,assists,15,T03
G0001,P0007,points,6,T03
G0001,P0007,rebounds,3,T03
G0001,P0007,assists,7,T03
G0001,P0338,points,20,T03
G0001,P0338,rebounds,14,T03
G0001,P0338,assists,6,T03
G0001,P0023,points,37,T03
G0001,P0023,rebounds,9,T03
G0001,P0023,assists,2,T03
G0001,P0036,points,4,T03
G0001,P0036,rebounds,20,T03
G0001,P0036,assists,2,T03
G0001,P0159,points,38,T05
G0001,P0159,rebounds,5,T05
G0001,P0159,assists,1,T05
G0001,P0369,points,12,T05
G0001,P0369,rebounds,12,T05
G0001,P0369,assists,6,T05
G0001,P0094,points,32,T05
G0001,P0094,rebounds,12,T05
G0001,P0094,assists,6,T05
G0001,P0174,points,26,T05
G0001,P0174,rebounds,20,T05
G0001,P0174,assists,6,T05
G0001,P0075,points,6,T05
G0001,P0075,rebounds,8,T05
G0001,P0075,assists,13,T05
G0001,P0194,points,8,T05
G0001,P0194,rebounds,19,T05
G0001,P0194,assists,9,T05
G0001,P0019,points,24,T05
G0001,P0019,rebounds,6,T05
G0001,P0019,assists,14,T05
G0001,P0002,points,1,T05
G0001,P0002,rebounds,6,T05
G0001,P0002,assists,6,T05
G0001,P0296,points,19,T05
G0001,P0296,rebounds,9,T05
G0001,P0296,assists,2,T05
G0001,P0255,points,9,T05
G0001,P0255,rebounds,2,T05
G0001,P0255,assists,9,T05
G0002,P0145,points,15,T24
G0002,P0145,rebounds,10,T24
G0002,P0145,assists,0,T24
G0002,P0245,points,4,T24
G0002,P0245,rebounds,1,T24
G0002,P0245,assists,1,T24
G0002,P0270,points,35,T24
G0002,P0270,rebounds,17,T24
G0002,P0270,assists,13,T24
G0002,P0228,points,2,T24
G0002,P0228,rebounds,1,T24
G0002,P0228,assists,4,T24
G0002,P0259,points,23,T24
G0002,P0259,rebounds,7,T24
G0002,P0259,assists,7,T24
G0002,P0234,points,7,T24
G0002,P0234,rebounds,15,T24
G0002,P0234,assists,5,T24
G0002,P0291,points,2,T24
G0002,P0291,rebounds,15,T24
G0002,P0291,assists,14,T24
G0002,P0133,points,0,T24
G0002,P0133,rebounds,9,T24
G0002,P0133,assists,13,T24
G0002,P0273,points,28,T24
G0002,P0273,rebounds,17,T24
G0002,P0273,assists,6,T24
G0002,P0244,points,15,T24
G0002,P0244,rebounds,14,T24
G0002,P0244,assists,2,T24
G0002,P0147,points,9,T14
G0002,P0147,rebounds,12,T14
G0002,P0147,assists,10,T14
G0002,P0209,points,4,T14
G0002,P0209,rebounds,10,T14
G0002,P0209,assists,5,T14
G0002,P0337,points,20,T14
G0002,P0337,rebounds,20,T14
G0002,P0337,assists,1,T14
G0002,P0359,points,40,T14
G0002,P0359,rebounds,9,T14
G0002,P0359,assists,12,T14
G0002,P0387,points,17,T14
G0002,P0387,rebounds,6,T14
G0002,P0387,assists,12,T14
G0002,P0053,points,28,T14
G0002,P0053,rebounds,3,T14
G0002,P0053,assists,11,T14
G0002,P0397,points,30,T14
G0002,P0397,rebounds,8,T14
G0002,P0397,assists,14,T14
G0002,P0309,points,26,T14
G0002,P0309,rebounds,7,T14
G0002,P0309,assists,0,T14
G0002,P0371,points,27,T14
G0002,P0371,rebounds,4,T14
G0002,P0371,assists,12,T14
G0002,P0230,points,21,T14
G0002,P0230,rebounds,9,T14
G0002,P0230,assists,2,T14
G0003,P0382,points,7,T20
G0003,P0382,rebounds,10,T20
G0003,P0382,assists,15,T20
G0003,P0400,points,24,T20
G0003,P0400,rebounds,15,T20
G0003,P0400,assists,7,T20
G0003,P0069,points,0,T20
G0003,P0069,rebounds,1,T20
G0003,P0069,assists,4,T20
G0003,P0233,points,9,T20
G0003,P0233,rebounds,17,T20
G0003,P0233,assists,13,T20
G0003,P0173,points,35,T20
G0003,P0173,rebounds,13,T20
G0003,P0173,assists,8,T20
G0003,P0347,points,26,T20
G0003,P0347,rebounds,8,T20
G0003,P0347,assists,10,T20
G0003,P0293,points,32,T20
G0003,P0293,rebounds,16,T20
G0003,P0293,assists,9,T20
G0003,P0412,points,2,T20
G0003,P0412,rebounds,15,T20
G0003,P0412,assists,5,T20
G0003,P0353,points,30,T20
G0003,P0353,rebounds,11,T20
G0003,P0353,assists,14,T20
G0003,P0085,points,13,T20
G0003,P0085,rebounds,19,T20
G0003,P0085,assists,13,T20
G0003,P0128,points,13,T22
G0003,P0128,rebounds,10,T22
G0003,P0128,assists,8,T22
G0003,P0062,points,31,T22
G0003,P0062,rebounds,14,T22
G0003,P0062,assists,13,T22
G0003,P0179,points,15,T22
G0003,P0179,rebounds,10,T22
G0003,P0179,assists,6,T22
G0003,P0198,points,37,T22
G0003,P0198,rebounds,6,T22
G0003,P0198,assists,9,T22
G0003,P0017,points,4,T22
G0003,P0017,rebounds,17,T22
G0003,P0017,assists,6,T22
G0003,P0033,points,13,T22
G0003,P0033,rebounds,12,T22
G0003,P0033,assists,7,T22
G0003,P0195,points,34,T22
G0003,P0195,rebounds,11,T22
G0003,P0195,assists,8,T22
G0003,P0383,points,4,T22
G0003,P0383,rebounds,0,T22
G0003,P0383,assists,6,T22
G0003,P0310,points,40,T22
G0003,P0310,rebounds,19,T22
G0003,P0310,assists,10,T22
G0003,P0341,points,25,T22
G0003,P0341,rebounds,8,T22
G0003,P0341,assists,2,T22
G0004,P0011,points,18,T14
G0004,P0011,rebounds,18,T14
G0004,P0011,assists,1,T14
G0004,P0290,points,4,T14
G0004,P0290,rebounds,10,T14
G0004,P0290,assists,11,T14
G0004,P0254,points,33,T14
G0004,P0254,rebounds,9,T14
G0004,P0254,assists,10,T14
G0004,P0388,points,22,T14
G0004,P0388,rebounds,20,T14
G0004,P0388,assists,10,T14
G0004,P0004,points,17,T14
G0004,P0004,rebounds,20,T14
G0004,P0004,assists,1,T14
G0004,P0080,points,40,T14
G0004,P0080,rebounds,3,T14
G0004,P0080,assists,4,T14
G0004,P0189,points,33,T14
G0004,P0189,rebounds,15,T14
G0004,P0189,assists,15,T14
G0004,P0140,points,30,T14
G0004,P0140,rebounds,13,T14
G0004,P0140,assists,5,T14
G0004,P0131,points,0,T14
G0004,P0131,rebounds,2,T14
G0004,P0131,assists,4,T14
G0004,P0108,points,1,T14
G0004,P0108,rebounds,10,T14
G0004,P0108,assists,12,T14
G0004,P0291,points,39,T06
G0004,P0291,rebounds,10,T06
G0004,P0291,assists,14,T06
G0004,P0264,points,40,T06
G0004,P0264,rebounds,18,T06
G0004,P0264,assists,7,T06
G0004,P0203,points,13,T06
G0004,P0203,rebounds,20,T06
G0004,P0203,assists,3,T06
G0004,P0261,points,16,T06
G0004,P0261,rebounds,1,T06
G0004,P0261,assists,12,T06
G0004,P0219,points,26,T06
G0004,P0219,rebounds,1,T06
G0004,P0219,assists,3,T06
G0004,P0408,points,22,T06
G0004,P0408,rebounds,11,T06
G0004,P0408,assists,12,T06
G0004,P0298,points,10,T06
G0004,P0298,rebounds,19,T06
G0004,P0298,assists,7,T06
G0004,P0414,points,33,T06
G0004,P0414,rebounds,5,T06
G0004,P0414,assists,0,T06
G0004,P0335,points,2,T06
G0004,P0335,rebounds,7,T06
G0004,P0335,assists,15,T06
G0004,P0368,points,1,T06
G0004,P0368,rebounds,7,T06
G0004,P0368,assists,1,T06
G0005,P0315,points,21,T13
G0005,P0315,rebounds,7,T13
G0005,P0315,assists,12,T13
G0005,P0311,points,34,T13
G0005,P0311,rebounds,18,T13
G0005,P0311,assists,4,T13
G0005,P0273,points,29,T13
G0005,P0273,rebounds,12,T13
G0005,P0273,assists,7,T13
G0005,P0004,points,16,T13
G0005,P0004,rebounds,2,T13
G0005,P0004,assists,4,T13
G0005,P0279,points,22,T13
G0005,P0279,rebounds,18,T13
G0005,P0279,assists,13,T13
G0005,P0322,points,7,T13
G0005,P0322,rebounds,14,T13
G0005,P0322,assists,1,T13
G0005,P0383,points,27,T13
G0005,P0383,rebounds,7,T13
G0005,P0383,assists,7,T13
G0005,P0420,points,29,T13
G0005,P0420,rebounds,8,T13
G0005,P0420,assists,12,T13
G0005,P0362,points,21,T13
G0005,P0362,rebounds,20,T13
G0005,P0362,assists,10,T13
G0005,P0296,points,12,T13
G0005,P0296,rebounds,16,T13
G0005,P0296,assists,6,T13
G0005,P0394,points,21,T22
G0005,P0394,rebounds,2,T22
G0005,P0394,assists,1,T22
