order_id,line_id,sku,quantity,unit_price,line_discount_pct,store_id,line_created_at,line_total
ORD000297,L01415,SKU-ALPHA,5,90.15,20,STORE-041,2025-02-04,360.6
ORD001016,L00615,SKU-ECHO,4,30.19,15,STORE-027,2025-12-15,102.65
ORD000423,L01293,SKU-BRAVO,3,79.01,0,STORE-041,2025-07-11,237.03
ORD001201,L01706,SKU-ECHO,1,202.64,20,STORE-011,2025-12-28,162.11
ORD000604,L00005,SKU-DELTA,1,125.9,20,STORE-014,2025-06-01,100.72
ORD001169,L01665,SKU-BRAVO,2,47.04,0,STORE-005,2025-11-01,94.08
ORD001326,L01689,SKU-CHARLIE,3,81.59,0,STORE-034,2025-05-01,244.77
ORD000371,L01654,SKU-ALPHA,5,238.63,0,STORE-037,2025-06-12,1193.15
ORD000110,L00885,SKU-ECHO,1,110.83,15,STORE-015,2025-05-07,94.21
ORD000082,L00982,SKU-BRAVO,3,113.19,10,STORE-020,2025-07-19,305.61
ORD001085,L00739,SKU-CHARLIE,2,42.5,5,STORE-029,2025-03-23,80.75
ORD000346,L01458,SKU-ALPHA,1,79.62,0,STORE-038,2025-07-03,79.62
ORD000147,L00979,SKU-CHARLIE,4,204.6,5,STORE-016,2025-11-03,777.48
ORD000144,L01758,SKU-CHARLIE,4,197.62,10,STORE-025,2025-02-26,711.43
ORD000098,L00224,SKU-BRAVO,5,111.7,0,STORE-010,2025-10-17,558.5
ORD000127,L00876,SKU-FOXTROT,3,223.94,10,STORE-041,2025-11-08,604.64
ORD000284,L00103,SKU-BRAVO,2,98.16,0,STORE-044,2025-01-13,196.32
ORD001348,L01370,SKU-BRAVO,5,216.76,15,STORE-037,2025-09-04,921.23
ORD000318,L01601,SKU-DELTA,2,12.73,0,STORE-041,2025-06-27,25.46
ORD000957,L00068,SKU-BRAVO,4,90.07,0,STORE-039,2025-08-21,360.28
ORD000656,L00124,SKU-CHARLIE,5,214.49,5,STORE-042,2025-04-18,1018.83
ORD001231,L00379,SKU-ECHO,1,225.82,5,STORE-022,2025-03-22,214.53
ORD000756,L00571,SKU-ALPHA,5,190.32,5,STORE-011,2025-04-15,904.02
ORD001322,L01046,SKU-DELTA,2,169.12,20,STORE-049,2025-02-25,270.59
ORD001291,L00872,SKU-ALPHA,3,204.8,10,STORE-001,2025-05-29,552.96
ORD001211,L01276,SKU-ALPHA,2,178.35,0,STORE-021,2025-11-15,356.7
ORD000550,L01022,SKU-ALPHA,1,67.28,15,STORE-037,2025-10-12,57.19
ORD000776,L00960,SKU-ALPHA,4,119.23,5,STORE-040,2025-03-07,453.07
ORD001290,L00441,SKU-CHARLIE,3,166.87,0,STORE-035,2025-07-23,500.61
ORD000802,L01454,SKU-FOXTROT,3,149.01,0,STORE-025,2025-01-27,447.03
ORD000462,L01229,SKU-FOXTROT,3,221.85,0,STORE-047,2025-01-22,665.55
ORD000573,L01506,SKU-ALPHA,4,121.09,0,STORE-012,2025-08-17,484.36
ORD001090,L01642,SKU-FOXTROT,5,48.61,15,STORE-008,2025-04-21,206.59
ORD001075,L00729,SKU-DELTA,3,57.57,5,STORE-032,2025-09-15,164.07
ORD000310,L01139,SKU-DELTA,1,212.28,5,STORE-017,2025-02-26,201.67
ORD000252,L01235,SKU-ECHO,2,7.14,0,STORE-024,2025-02-13,14.28
ORD000365,L01108,SKU-CHARLIE,3,217.94,0,STORE-023,2025-09-18,653.82
ORD001302,L01063,SKU-BRAVO,1,18.62,15,STORE-014,2025-03-17,15.83
ORD000844,L00826,SKU-DELTA,2,100.96,0,STORE-050,2025-01-22,201.92
ORD000545,L01166,SKU-ECHO,2,201.04,10,STORE-020,2025-10-15,361.87
ORD000902,L01378,SKU-ECHO,5,104.87,20,STORE-034,2025-09-15,419.48
ORD000902,L00555,SKU-BRAVO,3,206.48,20,STORE-008,2025-12-06,495.55
ORD000488,L00598,SKU-FOXTROT,5,29.57,0,STORE-050,2025-08-07,147.85
ORD001243,L00764,SKU-BRAVO,3,130.33,15,STORE-050,2025-06-23,332.34
ORD000646,L00078,SKU-ECHO,3,147.71,0,STORE-004,2025-09-02,443.13
ORD000768,L01182,SKU-BRAVO,5,223.26,0,STORE-033,2025-10-17,1116.3
ORD001206,L01488,SKU-ALPHA,4,27.94,0,STORE-030,2025-08-18,111.76
ORD000244,L00921,SKU-FOXTROT,2,87.96,0,STORE-009,2025-04-27,175.92
