order_id,payment_id,payment_method,payment_status,attempt_number,payment_amount,payment_created_at,processor
ORD000934,P01390,apple_pay,authorized,1,160.83,2025-07-19,stripe
ORD000968,P01349,mastercard,authorized,3,411.91,2025-07-01,stripe
ORD001300,P01487,klarna,authorized,1,77.29,2025-08-05,adyen
ORD000126,P01220,paypal,authorized,3,239.78,2025-09-14,adyen
ORD000850,P00527,apple_pay,chargeback,1,284.38,2025-01-22,adyen
ORD001120,P00434,amex,captured,1,286.38,2025-11-05,stripe
ORD001394,P00926,paypal,captured,1,171.21,2025-04-21,adyen
ORD000338,P00577,paypal,captured,1,322.23,2025-03-29,braintree
ORD000661,P00602,paypal,captured,2,173.65,2025-07-14,stripe
ORD001227,P01288,paypal,authorized,1,108.25,2025-12-27,stripe
ORD000920,P00506,apple_pay,authorized,1,88.67,2025-11-01,braintree
ORD000656,P01501,klarna,captured,2,537.88,2025-06-28,braintree
ORD000909,P01075,klarna,failed,2,87.08,2025-08-03,stripe
ORD000034,P01311,mastercard,authorized,2,243.16,2025-07-03,stripe
ORD000426,P00037,klarna,failed,1,158.62,2025-09-07,adyen
ORD001307,P00528,amex,captured,1,373.47,2025-11-10,stripe
ORD000900,P00533,mastercard,captured,1,214.0,2025-02-21,stripe
ORD000896,P01419,mastercard,authorized,3,178.93,2025-05-29,stripe
ORD000416,P00544,apple_pay,captured,2,581.72,2025-07-27,stripe
ORD001172,P00547,amex,captured,1,598.08,2025-10-04,stripe
ORD000810,P01551,apple_pay,authorized,2,88.25,2025-02-04,stripe
ORD000359,P00033,klarna,refunded,3,418.74,2025-07-27,stripe
ORD000350,P01438,paypal,captured,3,535.0,2025-10-10,adyen
ORD000606,P00687,mastercard,authorized,3,582.79,2025-02-19,adyen
ORD000524,P01405,visa,captured,1,185.88,2025-03-04,adyen
ORD000752,P01017,klarna,authorized,1,472.82,2025-01-13,stripe
ORD000457,P01328,mastercard,refunded,3,203.36,2025-11-07,braintree
ORD000819,P00259,visa,authorized,3,376.74,2025-12-07,braintree
ORD000221,P01588,amex,captured,1,312.65,2025-06-21,stripe
