customer_id,email_domain,preferred_channel,primary_device,marketing_opt_in,risk_score,enriched_at,source_system
C0000893,outlook.com,sms,ios,False,0.726,2025-02-27,crm_sync
C0002082,outlook.com,sms,android,True,0.95,2025-11-08,support_tool
C0000670,gmail.com,sms,ios,False,0.426,2025-09-22,support_tool
C0005875,yahoo.com,push,android,True,0.577,2025-01-03,crm_sync
C0004355,yahoo.com,email,web,True,0.627,2025-10-01,support_tool
C0002590,gmail.com,sms,android,True,0.502,2025-09-30,support_tool
C0004928,gmail.com,none,web,False,0.638,2025-09-01,crm_sync
C0001061,gmail.com,none,unknown,True,0.394,2025-12-05,crm_sync
C0002000,gmail.com,email,web,True,0.538,2025-10-01,crm_sync
C0003920,outlook.com,email,android,True,0.131,2025-01-09,ad_platform
C0001855,icloud.com,email,web,False,0.311,2025-05-25,crm_sync
C0005400,outlook.com,email,ios,True,0.756,2025-08-04,crm_sync
C0006019,outlook.com,email,android,True,0.228,2025-09-11,ad_platform
C0004718,gmail.com,push,android,True,0.766,2025-09-27,support_tool
C0002052,gmail.com,email,android,True,0.406,2025-10-12,crm_sync
C0002795,proton.me,email,ios,True,0.854,2025-05-16,support_tool
C0004526,icloud.com,email,android,False,0.741,2025-10-27,data_vendor
C0005682,gmail.com,email,android,True,0.508,2025-05-16,ad_platform
C0003649,gmail.com,none,ios,False,0.169,2025-12-20,crm_sync
C0004611,yahoo.com,email,android,True,0.451,2025-12-31,support_tool
C0000509,yahoo.com,push,android,True,0.401,2025-10-30,ad_platform
C0004619,gmail.com,email,ios,True,0.151,2025-01-19,ad_platform
C0004329,icloud.com,push,web,True,0.948,2025-04-26,support_tool
C0002683,outlook.com,none,android,True,0.14,2025-08-22,ad_platform
C0002376,gmail.com,push,android,True,0.728,2025-05-04,data_vendor
C0001613,yahoo.com,push,ios,True,0.59,2025-12-18,crm_sync
C0005595,gmail.com,email,android,True,0.343,2025-04-04,crm_sync
C0004891,gmail.com,email,ios,False,0.184,2025-11-04,ad_platform
C0001178,outlook.com,none,ios,True,0.113,2025-05-26,support_tool
C0001371,icloud.com,sms,web,False,0.7,2025-09-19,crm_sync
C0004799,gmail.com,push,web,True,0.24,2025-10-17,crm_sync
C0002332,company.com,sms,ios,True,0.104,2025-12-05,ad_platform
C0000174,outlook.com,push,ios,False,0.171,2025-12-06,crm_sync
C0001809,gmail.com,email,ios,True,0.61,2025-07-25,data_vendor
C0004552,gmail.com,push,web,True,0.387,2025-03-14,data_vendor
C0001605,company.com,push,android,True,0.418,2025-12-28,ad_platform
C0004884,outlook.com,email,android,False,0.33,2025-11-16,crm_sync
C0000563,icloud.com,email,android,True,0.035,2025-05-24,crm_sync
C0003560,gmail.com,push,ios,False,0.549,2025-02-24,crm_sync
C0005083,company.com,push,ios,False,0.357,2025-03-08,crm_sync
C0003667,gmail.com,push,android,True,0.308,2025-03-15,data_vendor
C0006460,gmail.com,email,ios,True,0.728,2025-09-16,support_tool
C0003631,gmail.com,sms,web,True,0.089,2025-04-01,data_vendor
C0002145,gmail.com,email,web,False,0.81,2025-05-02,support_tool
C0003336,company.com,none,web,False,0.553,2025-01-12,crm_sync
C0004012,company.com,none,android,True,0.48,2025-03-28,ad_platform
C0002027,icloud.com,push,android,False,0.736,2025-07-30,ad_platform
C0004838,gmail.com,email,android,True,0.964,2025-04-05,crm_sync
C0005898,company.com,none,android,True,0.93,2025-12-14,crm_sync
C0006859,gmail.com,sms,web,True,0.483,2025-11-23,crm_sync
C0003676,gmail.com,email,web,True,0.177,2025-09-26,crm_sync
C0003762,yahoo.com,push,ios,True,0.347,2025-03-14,crm_sync
C0003154,icloud.com,sms,ios,True,0.53,2025-09-10,ad_platform
C0003088,yahoo.com,email,android,True,0.174,2025-04-14,crm_sync
C0002327,outlook.com,none,android,True,0.192,2025-05-30,data_vendor
C0005508,gmail.com,push,android,True,0.346,2025-07-20,ad_platform
C0000672,gmail.com,email,web,True,0.302,2025-05-06,support_tool
C0001816,gmail.com,push,android,False,0.026,2025-01-06,crm_sync
C0005649,icloud.com,push,ios,True,0.689,2025-08-08,support_tool
C0003123,outlook.com,push,web,False,0.878,2025-09-05,crm_sync
C0003195,gmail.com,push,ios,True,0.612,2025-08-06,ad_platform
C0002791,yahoo.com,sms,android,True,0.793,2025-10-20,support_tool
C0000304,yahoo.com,sms,ios,True,0.195,2025-09-09,crm_sync
C0001638,gmail.com,email,android,True,0.105,2025-06-23,crm_sync
C0004516,company.com,push,android,True,0.793,2025-08-03,data_vendor
C0004443,icloud.com,email,android,False,0.114,2025-07-19,crm_sync
C0002930,outlook.com,email,ios,True,0.653,2025-09-06,support_tool
C0004404,gmail.com,sms,ios,False,0.033,2025-12-21,ad_platform
C0004253,outlook.com,email,android,False,0.014,2025-11-01,ad_platform
C0000874,gmail.com,email,ios,False,0.403,2025-07-26,crm_sync
C0004654,gmail.com,push,web,True,0.19,2025-05-28,crm_sync
C0005636,proton.me,sms,web,True,0.859,2025-06-09,crm_sync
C0005613,gmail.com,none,android,True,0.8,2025-12-19,ad_platform
C0002395,gmail.com,email,ios,True,0.804,2025-01-02,ad_platform
C0002440,gmail.com,email,web,True,0.251,2025-07-29,data_vendor
C0003570,company.com,email,android,True,0.848,2025-02-18,support_tool
C0002561,gmail.com,push,web,False,0.495,2025-06-16,crm_sync
C0003588,icloud.com,sms,android,True,0.182,2025-11-12,support_tool
C0003893,gmail.com,email,web,True,0.195,2025-09-26,crm_sync
C0003279,icloud.com,email,android,True,0.017,2025-12-12,crm_sync
C0003977,outlook.com,none,web,True,0.846,2025-06-29,ad_platform
C0002413,gmail.com,email,ios,True,0.411,2025-06-07,support_tool
C0000697,proton.me,push,android,True,0.484,2025-11-02,crm_sync
C0002003,yahoo.com,push,android,True,0.376,2025-08-21,support_tool
C0004014,yahoo.com,email,android,False,0.726,2025-11-10,crm_sync
C0000641,gmail.com,sms,ios,True,0.889,2025-09-16,ad_platform
C0000752,outlook.com,email,ios,True,0.062,2025-11-03,crm_sync
C0000727,gmail.com,push,web,True,0.44,2025-03-13,crm_sync
C0002560,gmail.com,push,ios,True,0.56,2025-08-15,ad_platform
C0006018,gmail.com,sms,android,True,0.661,2025-10-27,data_vendor
C0004339,yahoo.com,email,web,True,0.272,2025-10-03,support_tool
C0002426,icloud.com,email,android,True,0.613,2025-10-05,crm_sync
C0002566,outlook.com,email,ios,True,0.585,2025-03-05,crm_sync
C0005276,outlook.com,push,android,True,0.699,2025-01-08,data_vendor
C0006794,gmail.com,sms,ios,False,0.071,2025-11-16,crm_sync
C0006814,company.com,email,android,True,0.774,2025-10-29,data_vendor
C0001637,icloud.com,email,ios,False,0.217,2025-01-27,data_vendor
C0003471,icloud.com,push,android,True,0.212,2025-10-20,ad_platform
C0001354,yahoo.com,push,android,True,0.999,2025-12-30,data_vendor
C0005628,outlook.com,push,ios,True,0.169,2025-06-20,crm_sync
C0002286,icloud.com,sms,ios,False,0.351,2025-09-15,support_tool
C0000748,gmail.com,push,android,True,0.053,2025-04-04,data_vendor
C0003309,icloud.com,email,ios,False,0.577,2025-02-28,crm_sync
C0004227,proton.me,push,android,True,0.216,2025-08-31,crm_sync
C0006456,yahoo.com,email,android,True,0.938,2025-02-14,crm_sync
C0002850,outlook.com,email,android,True,0.538,2025-06-22,ad_platform
C0003424,gmail.com,email,ios,False,0.843,2025-11-14,crm_sync
C0005067,icloud.com,email,android,True,0.366,2025-11-30,ad_platform
C0000102,company.com,sms,web,True,0.855,2025-11-02,crm_sync
C0005685,yahoo.com,email,ios,True,0.165,2025-01-13,support_tool
C0004484,outlook.com,push,android,True,0.15,2025-02-02,crm_sync
C0002690,proton.me,none,ios,True,0.594,2025-05-01,support_tool
C0003659,icloud.com,sms,unknown,True,0.903,2025-01-24,support_tool
C0004407,icloud.com,email,ios,False,0.114,2025-02-28,data_vendor
C0002843,yahoo.com,email,ios,True,0.8,2025-11-19,crm_sync
C0001213,gmail.com,sms,android,True,0.49,2025-06-24,data_vendor
C0000304,gmail.com,email,android,True,0.053,2025-03-07,ad_platform
C0003825,outlook.com,none,ios,False,0.159,2025-04-05,ad_platform
C0003372,gmail.com,push,ios,True,0.579,2025-09-08,data_vendor
C0000040,icloud.com,email,android,True,0.245,2025-11-06,crm_sync
C0002308,gmail.com,email,ios,True,0.508,2025-09-29,data_vendor
C0002635,gmail.com,push,ios,True,0.45,2025-08-13,support_tool
C0004692,outlook.com,email,android,True,0.053,2025-03-17,support_tool
C0002836,yahoo.com,email,web,False,0.235,2025-07-04,crm_sync
C0005736,yahoo.com,push,ios,False,0.216,2025-02-27,ad_platform
C0001298,company.com,push,web,True,0.548,2025-07-10,ad_platform
C0005891,gmail.com,email,ios,True,0.933,2025-12-24,data_vendor
