order_id,shipment_id,event_id,event_type,event_ts,scan_city,scan_state
ORD0000572,SHP001627,E003703,label_created,2025-03-21 10:00:00,Chicago,CA
ORD0000803,SHP001756,E002720,label_created,2025-08-14 11:00:00,Denver,AZ
ORD0001996,SHP000947,E000130,in_transit,2025-06-04 20:00:00,Seattle,NY
ORD0000263,SHP001294,E001313,label_created,2025-12-09 23:00:00,Dallas,WA
ORD0000228,SHP000200,E003991,picked_up,2025-07-20 14:00:00,Los Angeles,TX
ORD0001764,SHP001290,E001327,in_transit,2025-10-12 11:00:00,Phoenix,NY
ORD0000580,SHP001036,E001264,label_created,2025-04-16 18:00:00,Chicago,IL
ORD0000410,SHP000087,E002263,out_for_delivery,2025-12-28 05:00:00,New York,FL
ORD0001835,SHP000966,E001277,out_for_delivery,2025-12-24 23:00:00,Denver,WA
ORD0001434,SHP000068,E000633,out_for_delivery,2025-06-07 09:00:00,Miami,NY
ORD0001124,SHP001718,E004559,picked_up,2025-03-13 10:00:00,Denver,AZ
ORD0001615,SHP000147,E000254,delivered,2025-04-05 06:00:00,Phoenix,IL
ORD0001327,SHP001011,E000766,picked_up,2025-05-06 01:00:00,Seattle,WA
ORD0002077,SHP000667,E000124,in_transit,2025-12-16 15:00:00,Seattle,AZ
ORD0002076,SHP000100,E000873,in_transit,2025-11-24 12:00:00,Los Angeles,AZ
ORD0001219,SHP001464,E004403,in_transit,2025-10-01 23:00:00,New York,FL
ORD0001200,SHP000789,E002072,in_transit,2025-03-25 02:00:00,Miami,FL
ORD0000234,SHP001161,E005140,out_for_delivery,2025-08-23 03:00:00,New York,CA
ORD0000201,SHP001007,E003889,delivered,2025-10-06 00:00:00,Miami,CA
ORD0001255,SHP000446,E002993,in_transit,2025-09-26 19:00:00,Denver,WA
ORD0001884,SHP000574,E001659,in_transit,2025-09-06 20:00:00,Miami,NY
ORD0001553,SHP000659,E001829,in_transit,2025-10-25 18:00:00,Los Angeles,WA
ORD0000367,SHP000086,E005572,exception,2025-05-05 00:00:00,Dallas,NY
ORD0001152,SHP001365,E001088,in_transit,2025-11-16 00:00:00,New York,CA
ORD0000123,SHP001207,E002730,in_transit,2025-01-20 05:00:00,Los Angeles,FL
ORD0000986,SHP000512,E002988,picked_up,2025-08-12 10:00:00,New York,NY
ORD0000998,SHP000634,E004290,in_transit,2025-01-30 17:00:00,Miami,NY
ORD0000333,SHP000713,E000092,picked_up,2025-10-05 11:00:00,Chicago,IL
ORD0000087,SHP001366,E002271,delivered,2025-05-16 12:00:00,Dallas,CA
ORD0001110,SHP000819,E003585,in_transit,2025-12-27 19:00:00,New York,IL
ORD0000374,SHP000462,E001633,picked_up,2025-04-29 18:00:00,Miami,NY
ORD0002017,SHP000436,E001132,picked_up,2025-09-23 12:00:00,Chicago,FL
ORD0001959,SHP000362,E001820,picked_up,2025-04-21 18:00:00,Denver,TX
ORD0001298,SHP000122,E004596,in_transit,2025-08-17 07:00:00,Phoenix,CO
ORD0000919,SHP001190,E003931,label_created,2025-03-09 20:00:00,Phoenix,CO
ORD0001113,SHP001494,E002228,delivered,2025-03-27 10:00:00,Chicago,NY
ORD0001247,SHP000484,E002972,picked_up,2025-10-06 23:00:00,New York,TX
ORD0000694,SHP000928,E004620,in_transit,2025-11-30 20:00:00,Phoenix,CA
ORD0000173,SHP001276,E000836,picked_up,2025-06-04 18:00:00,Dallas,FL
ORD0000114,SHP001613,E002336,out_for_delivery,2025-01-13 02:00:00,Denver,IL
ORD0001706,SHP000115,E000843,label_created,2025-11-29 11:00:00,New York,TX
ORD0001871,SHP001621,E005370,out_for_delivery,2025-09-05 11:00:00,Phoenix,FL
ORD0000609,SHP000178,E000915,in_transit,2025-10-30 16:00:00,Dallas,CO
ORD0000188,SHP000106,E000316,in_transit,2025-10-01 09:00:00,Los Angeles,IL
ORD0002110,SHP000285,E002318,in_transit,2025-10-12 16:00:00,Miami,TX
ORD0001657,SHP000587,E005690,in_transit,2025-07-28 20:00:00,Denver,IL
ORD0001556,SHP001663,E002950,out_for_delivery,2025-07-06 12:00:00,Denver,CO
ORD0000931,SHP001687,E003661,in_transit,2025-10-14 10:00:00,Miami,CA
ORD0000149,SHP000594,E005190,delivered,2025-07-31 07:00:00,Phoenix,CO
ORD0000132,SHP001709,E005377,in_transit,2025-01-13 21:00:00,Chicago,TX
ORD0000425,SHP000782,E003065,picked_up,2025-03-22 14:00:00,Miami,AZ
ORD0001916,SHP001646,E005494,in_transit,2025-03-14 05:00:00,Phoenix,CA
ORD0001215,SHP001297,E005056,in_transit,2025-08-04 01:00:00,Phoenix,NY
ORD0000156,SHP001142,E000191,picked_up,2025-01-29 13:00:00,Phoenix,TX
