ship_date,order_id,carrier,shipment_id,origin_state,shipping_cost,service_level,dest_state
2025-03-30,ORD0000918,usps,SHP001372,CA,34.89,overnight,FL
2025-07-15,ORD0000022,usps,SHP000245,WA,6.87,ground,NY
2025-08-28,ORD0002177,usps,SHP001772,WA,17.91,2_day,IL
2025-03-31,ORD0001234,ups,SHP001607,CA,43.54,ground,NY
2025-06-21,ORD0001877,fedex,SHP000826,CA,44.15,ground,NY
2025-12-21,ORD0001030,usps,SHP001549,FL,16.42,ground,WA
2025-02-14,ORD0000893,usps,SHP000142,IL,7.46,overnight,TX
2025-10-13,ORD0000152,fedex,SHP000925,CA,39.73,2_day,CO
2025-08-01,ORD0000025,usps,SHP001254,CA,31.98,ground,CO
2025-05-29,ORD0000029,dhl,SHP000499,AZ,32.87,overnight,FL
2025-11-18,ORD0000473,dhl,SHP000068,CA,38.0,ground,FL
2025-02-17,ORD0001480,ups,SHP000104,TX,37.07,ground,AZ
2025-12-07,ORD0001059,ups,SHP000907,AZ,27.86,ground,CA
2025-12-27,ORD0000576,fedex,SHP001750,FL,28.57,ground,NY
2025-08-30,ORD0001373,usps,SHP001589,CO,12.34,ground,CO
2025-08-25,ORD0000434,ups,SHP000468,FL,36.71,ground,CO
2025-10-08,ORD0001190,ups,SHP000050,WA,32.24,ground,CO
2025-08-08,ORD0000218,ups,SHP001212,FL,13.34,2_day,AZ
2025-04-24,ORD0001964,fedex,SHP000852,IL,42.34,ground,TX
2025-10-16,ORD0000524,usps,SHP001477,CA,34.3,ground,IL
2025-08-29,ORD0000309,usps,SHP000288,NY,8.45,ground,TX
2025-06-22,ORD0002027,ups,SHP000949,AZ,22.84,ground,TX
2025-12-04,ORD0000450,usps,SHP001197,CO,14.23,ground,TX
2025-06-01,ORD0001684,usps,SHP000925,TX,29.26,ground,FL
2025-12-08,ORD0000885,ups,SHP000890,WA,37.54,2_day,TX
2025-07-09,ORD0001827,fedex,SHP000632,NY,34.5,2_day,WA
2025-03-26,ORD0001539,ups,SHP000992,FL,8.3,ground,TX
2025-03-02,ORD0000337,usps,SHP001283,CA,40.92,ground,WA
2025-05-20,ORD0000510,ups,SHP001575,TX,36.87,ground,TX
2025-09-06,ORD0001085,ups,SHP001516,WA,30.06,ground,FL
2025-01-14,ORD0001911,ups,SHP000979,TX,13.79,ground,CO
2025-08-03,ORD0000057,usps,SHP001449,AZ,43.08,ground,AZ
2025-12-02,ORD0000123,ups,SHP000179,NY,42.62,ground,NY
2025-05-19,ORD0000803,ups,SHP000662,AZ,20.59,overnight,TX
2025-02-25,ORD0001202,ups,SHP000030,WA,31.61,overnight,CA
2025-01-04,ORD0001864,fedex,SHP001026,WA,29.4,ground,FL
2025-07-27,ORD0000298,usps,SHP001665,CO,41.81,2_day,CO
2025-02-11,ORD0000575,ups,SHP000402,CA,40.22,ground,NY
2025-07-06,ORD0000862,fedex,SHP001376,IL,4.75,ground,IL
2025-11-18,ORD0001059,fedex,SHP001476,FL,15.73,ground,FL
2025-10-31,ORD0001823,usps,SHP001621,CA,7.73,overnight,AZ
2025-08-03,ORD0001009,fedex,SHP000303,FL,7.94,ground,AZ
2025-07-11,ORD0000865,ups,SHP000057,WA,34.64,ground,TX
2025-02-23,ORD0002172,fedex,SHP000209,NY,33.5,2_day,NY
2025-01-28,ORD0001457,fedex,SHP001231,IL,19.65,2_day,CO
