event_ts,order_id,event_id,event_type,scan_city,scan_state,shipment_id
2025-03-21 10:00:00,ORD0000572,E003703,label_created,Chicago,CA,SHP001627
2025-08-14 11:00:00,ORD0000803,E002720,label_created,Denver,AZ,SHP001756
2025-06-04 20:00:00,ORD0001996,E000130,in_transit,Seattle,NY,SHP000947
2025-12-09 23:00:00,ORD0000263,E001313,label_created,Dallas,WA,SHP001294
2025-07-20 14:00:00,ORD0000228,E003991,picked_up,Los Angeles,TX,SHP000200
2025-10-12 11:00:00,ORD0001764,E001327,in_transit,Phoenix,NY,SHP001290
2025-04-16 18:00:00,ORD0000580,E001264,label_created,Chicago,IL,SHP001036
2025-12-28 05:00:00,ORD0000410,E002263,out_for_delivery,New York,FL,SHP000087
2025-12-24 23:00:00,ORD0001835,E001277,out_for_delivery,Denver,WA,SHP000966
2025-06-07 09:00:00,ORD0001434,E000633,out_for_delivery,Miami,NY,SHP000068
2025-03-13 10:00:00,ORD0001124,E004559,picked_up,Denver,AZ,SHP001718
2025-04-05 06:00:00,ORD0001615,E000254,delivered,Phoenix,IL,SHP000147
2025-05-06 01:00:00,ORD0001327,E000766,picked_up,Seattle,WA,SHP001011
2025-12-16 15:00:00,ORD0002077,E000124,in_transit,Seattle,AZ,SHP000667
2025-11-24 12:00:00,ORD0002076,E000873,in_transit,Los Angeles,AZ,SHP000100
2025-10-01 23:00:00,ORD0001219,E004403,in_transit,New York,FL,SHP001464
2025-03-25 02:00:00,ORD0001200,E002072,in_transit,Miami,FL,SHP000789
2025-08-23 03:00:00,ORD0000234,E005140,out_for_delivery,New York,CA,SHP001161
2025-10-06 00:00:00,ORD0000201,E003889,delivered,Miami,CA,SHP001007
2025-09-26 19:00:00,ORD0001255,E002993,in_transit,Denver,WA,SHP000446
2025-09-06 20:00:00,ORD0001884,E001659,in_transit,Miami,NY,SHP000574
2025-10-25 18:00:00,ORD0001553,E001829,in_transit,Los Angeles,WA,SHP000659
2025-05-05 00:00:00,ORD0000367,E005572,exception,Dallas,NY,SHP000086
2025-11-16 00:00:00,ORD0001152,E001088,in_transit,New York,CA,SHP001365
2025-01-20 05:00:00,ORD0000123,E002730,in_transit,Los Angeles,FL,SHP001207
2025-08-12 10:00:00,ORD0000986,E002988,picked_up,New York,NY,SHP000512
2025-01-30 17:00:00,ORD0000998,E004290,in_transit,Miami,NY,SHP000634
2025-10-05 11:00:00,ORD0000333,E000092,picked_up,Chicago,IL,SHP000713
2025-05-16 12:00:00,ORD0000087,E002271,delivered,Dallas,CA,SHP001366
2025-12-27 19:00:00,ORD0001110,E003585,in_transit,New York,IL,SHP000819
2025-04-29 18:00:00,ORD0000374,E001633,picked_up,Miami,NY,SHP000462
2025-09-23 12:00:00,ORD0002017,E001132,picked_up,Chicago,FL,SHP000436
2025-04-21 18:00:00,ORD0001959,E001820,picked_up,Denver,TX,SHP000362
2025-08-17 07:00:00,ORD0001298,E004596,in_transit,Phoenix,CO,SHP000122
2025-03-09 20:00:00,ORD0000919,E003931,label_created,Phoenix,CO,SHP001190
2025-03-27 10:00:00,ORD0001113,E002228,delivered,Chicago,NY,SHP001494
2025-10-06 23:00:00,ORD0001247,E002972,picked_up,New York,TX,SHP000484
2025-11-30 20:00:00,ORD0000694,E004620,in_transit,Phoenix,CA,SHP000928
2025-06-04 18:00:00,ORD0000173,E000836,picked_up,Dallas,FL,SHP001276
2025-01-13 02:00:00,ORD0000114,E002336,out_for_delivery,Denver,IL,SHP001613
2025-11-29 11:00:00,ORD0001706,E000843,label_created,New York,TX,SHP000115
2025-09-05 11:00:00,ORD0001871,E005370,out_for_delivery,Phoenix,FL,SHP001621
2025-10-30 16:00:00,ORD0000609,E000915,in_transit,Dallas,CO,SHP000178
2025-10-01 09:00:00,ORD0000188,E000316,in_transit,Los Angeles,IL,SHP000106
2025-10-12 16:00:00,ORD0002110,E002318,in_transit,Miami,TX,SHP000285
2025-07-28 20:00:00,ORD0001657,E005690,in_transit,Denver,IL,SHP000587
2025-07-06 12:00:00,ORD0001556,E002950,out_for_delivery,Denver,CO,SHP001663
2025-10-14 10:00:00,ORD0000931,E003661,in_transit,Miami,CA,SHP001687
2025-07-31 07:00:00,ORD0000149,E005190,delivered,Phoenix,CO,SHP000594
2025-01-13 21:00:00,ORD0000132,E005377,in_transit,Chicago,TX,SHP001709
2025-03-22 14:00:00,ORD0000425,E003065,picked_up,Miami,AZ,SHP000782
2025-03-14 05:00:00,ORD0001916,E005494,in_transit,Phoenix,CA,SHP001646
2025-08-04 01:00:00,ORD0001215,E005056,in_transit,Phoenix,NY,SHP001297
2025-01-29 13:00:00,ORD0000156,E000191,picked_up,Phoenix,TX,SHP001142
2025-09-21 08:00:00,ORD0001977,E001608,picked_up,Dallas,CO,SHP000691
2025-02-01 23:00:00,ORD0000333,E000673,in_transit,Phoenix,TX,SHP000713
2025-02-07 01:00:00,ORD0002075,E004530,label_created,Los Angeles,CA,SHP001415
2025-04-18 09:00:00,ORD0001265,E001966,in_transit,Phoenix,FL,SHP000442
2025-02-27 22:00:00,ORD0001842,E000905,in_transit,Miami,TX,SHP000103
2025-04-16 15:00:00,ORD0002019,E003938,in_transit,Denver,CA,SHP000333
2025-04-14 09:00:00,ORD0001224,E000806,delivered,Miami,CA,SHP000547
2025-12-23 14:00:00,ORD0000241,E004912,out_for_delivery,Denver,TX,SHP001179
2025-01-02 11:00:00,ORD0000817,E000992,picked_up,Phoenix,IL,SHP000873
2025-05-12 17:00:00,ORD0000802,E004287,delivered,Chicago,FL,SHP000368
2025-10-24 20:00:00,ORD0001296,E001891,exception,Phoenix,CA,SHP001056
2025-08-07 11:00:00,ORD0000333,E000818,delivered,Seattle,NY,SHP000057
2025-01-25 07:00:00,ORD0001152,E000772,label_created,Los Angeles,CA,SHP000663
2025-09-06 17:00:00,ORD0000378,E002632,delivered,New York,WA,SHP001087
2025-11-12 13:00:00,ORD0000564,E004039,delivered,Miami,NY,SHP000662
2025-06-17 18:00:00,ORD0002042,E002157,picked_up,Miami,WA,SHP000936
2025-12-24 15:00:00,ORD0001903,E004860,in_transit,Denver,CA,SHP000706
2025-05-13 16:00:00,ORD0001194,E003406,delivered,Phoenix,NY,SHP001512
2025-05-15 01:00:00,ORD0001640,E001103,out_for_delivery,Los Angeles,CA,SHP000400
2025-09-22 16:00:00,ORD0001809,E002286,exception,Miami,NY,SHP001362
2025-12-21 15:00:00,ORD0000508,E003594,out_for_delivery,Miami,NY,SHP000686
2025-11-29 06:00:00,ORD0000043,E001219,exception,Miami,WA,SHP000869
2025-05-13 11:00:00,ORD0001154,E003070,exception,Los Angeles,FL,SHP001510
2025-04-19 23:00:00,ORD0000755,E003648,out_for_delivery,Denver,AZ,SHP001633
2025-08-13 22:00:00,ORD0001592,E002857,delivered,Chicago,NY,SHP001080
2025-06-15 00:00:00,ORD0001283,E000610,in_transit,Chicago,AZ,SHP001768
2025-03-15 12:00:00,ORD0000992,E003322,out_for_delivery,Denver,TX,SHP001424
2025-03-18 00:00:00,ORD0000138,E000298,in_transit,Chicago,CA,SHP000106
2025-07-21 06:00:00,ORD0001102,E005339,delivered,Miami,CO,SHP001347
2025-11-02 18:00:00,ORD0000778,E005289,exception,New York,FL,SHP001133
2025-11-07 23:00:00,ORD0001669,E003102,delivered,Miami,IL,SHP001524
2025-10-18 13:00:00,ORD0001797,E002161,in_transit,Phoenix,IL,SHP000516
2025-03-16 18:00:00,ORD0001318,E005594,label_created,Dallas,AZ,SHP001088
2025-02-09 05:00:00,ORD0000875,E001549,out_for_delivery,New York,WA,SHP000989
2025-01-12 06:00:00,ORD0001883,E000837,label_created,New York,AZ,SHP000156
2025-07-21 22:00:00,ORD0002018,E005347,in_transit,Los Angeles,CO,SHP000664
2025-10-27 11:00:00,ORD0000440,E002930,label_created,Denver,TX,SHP001452
2025-01-17 03:00:00,ORD0001736,E003849,in_transit,New York,AZ,SHP000659
2025-05-16 03:00:00,ORD0001324,E005123,in_transit,Seattle,FL,SHP001574
2025-07-31 23:00:00,ORD0000223,E004153,in_transit,Denver,IL,SHP001433
2025-02-24 13:00:00,ORD0000085,E002242,in_transit,Denver,IL,SHP000938
2025-04-03 20:00:00,ORD0000768,E005229,out_for_delivery,Miami,WA,SHP000632
2025-09-29 22:00:00,ORD0000594,E000318,label_created,Seattle,CO,SHP001222
2025-12-15 09:00:00,ORD0000013,E001051,delivered,Seattle,CO,SHP001227
2025-10-20 21:00:00,ORD0001482,E004157,in_transit,Dallas,CA,SHP001271
2025-09-01 07:00:00,ORD0002159,E001257,delivered,Phoenix,FL,SHP001213
2025-06-08 12:00:00,ORD0000195,E004131,in_transit,New York,CA,SHP000409
2025-06-20 20:00:00,ORD0000160,E004878,out_for_delivery,Phoenix,CA,SHP000962
2025-08-07 23:00:00,ORD0000672,E002346,delivered,Phoenix,FL,SHP000641
2025-10-18 09:00:00,ORD0000703,E000875,delivered,Miami,NY,SHP001122
2025-09-27 05:00:00,ORD0000356,E001804,delivered,Denver,NY,SHP001494
2025-12-29 18:00:00,ORD0001314,E004508,picked_up,New York,WA,SHP000257
2025-03-20 04:00:00,ORD0000999,E005004,delivered,Phoenix,CA,SHP001573
2025-11-21 15:00:00,ORD0000506,E003380,picked_up,Seattle,FL,SHP000685
2025-06-09 23:00:00,ORD0002175,E001517,label_created,Chicago,AZ,SHP000027
2025-03-17 09:00:00,ORD0001116,E004445,in_transit,Seattle,FL,SHP000364
2025-12-05 22:00:00,ORD0000349,E002946,in_transit,Los Angeles,AZ,SHP001759
2025-12-02 11:00:00,ORD0000756,E002287,out_for_delivery,Chicago,AZ,SHP001608
2025-05-31 21:00:00,ORD0001741,E003010,picked_up,Dallas,IL,SHP000087
2025-11-04 05:00:00,ORD0000418,E002385,in_transit,New York,CO,SHP001695
2025-08-28 13:00:00,ORD0000689,E001291,in_transit,Chicago,WA,SHP000744
2025-11-06 18:00:00,ORD0000261,E000398,out_for_delivery,Los Angeles,CA,SHP001445
2025-02-14 13:00:00,ORD0001711,E000084,picked_up,Dallas,TX,SHP000541
2025-10-16 19:00:00,ORD0000468,E005587,delivered,Dallas,FL,SHP000987
2025-09-03 10:00:00,ORD0002045,E004107,in_transit,Los Angeles,AZ,SHP001293
2025-09-10 03:00:00,ORD0000808,E000211,in_transit,Miami,WA,SHP000736
2025-03-25 04:00:00,ORD0001269,E000358,out_for_delivery,Seattle,CA,SHP000567
2025-11-10 10:00:00,ORD0000349,E001461,delivered,Los Angeles,NY,SHP001759
2025-07-11 21:00:00,ORD0001833,E004192,delivered,Seattle,CA,SHP000715
2025-10-08 20:00:00,ORD0000572,E004027,label_created,Miami,CO,SHP000310
2025-09-29 07:00:00,ORD0001830,E000033,in_transit,Seattle,IL,SHP000701
2025-06-29 09:00:00,ORD0000241,E004850,in_transit,New York,AZ,SHP001231
2025-12-17 12:00:00,ORD0001619,E002748,out_for_delivery,Seattle,CO,SHP000057
2025-12-14 00:00:00,ORD0001025,E004235,in_transit,Miami,IL,SHP000612
2025-01-06 16:00:00,ORD0001124,E004183,in_transit,New York,IL,SHP000562
2025-11-28 21:00:00,ORD0001947,E000065,out_for_delivery,Phoenix,CO,SHP000275
2025-02-08 08:00:00,ORD0000466,E003786,delivered,Phoenix,TX,SHP000506
2025-03-09 10:00:00,ORD0000374,E003126,exception,Phoenix,CA,SHP001010
2025-05-18 22:00:00,ORD0002188,E000174,in_transit,New York,IL,SHP001287
2025-03-05 01:00:00,ORD0001079,E003480,out_for_delivery,Los Angeles,AZ,SHP000235
2025-04-15 06:00:00,ORD0000580,E001008,out_for_delivery,New York,NY,SHP001036
2025-02-06 13:00:00,ORD0001967,E002939,picked_up,Miami,CA,SHP000902
2025-09-09 10:00:00,ORD0001704,E005219,out_for_delivery,Phoenix,CA,SHP000374
2025-05-18 18:00:00,ORD0000480,E004687,in_transit,Phoenix,AZ,SHP000927
2025-05-05 08:00:00,ORD0000682,E003597,in_transit,Dallas,NY,SHP001459
2025-10-24 05:00:00,ORD0000087,E001448,in_transit,Denver,CA,SHP001689
2025-01-27 19:00:00,ORD0000275,E001614,in_transit,Los Angeles,IL,SHP000508
2025-10-29 17:00:00,ORD0000150,E003822,in_transit,Phoenix,CA,SHP000476
2025-12-25 06:00:00,ORD0000581,E005590,in_transit,Dallas,FL,SHP001373
2025-04-15 17:00:00,ORD0001359,E000359,in_transit,New York,TX,SHP001535
2025-08-09 05:00:00,ORD0002045,E002114,delivered,Seattle,AZ,SHP001109
2025-11-14 17:00:00,ORD0002095,E005594,out_for_delivery,Phoenix,AZ,SHP001717
2025-11-19 22:00:00,ORD0001647,E003124,out_for_delivery,Seattle,TX,SHP000158
2025-07-18 12:00:00,ORD0000356,E005602,in_transit,Denver,NY,SHP001494
2025-07-17 12:00:00,ORD0001313,E001928,out_for_delivery,Chicago,NY,SHP001507
2025-03-02 18:00:00,ORD0000170,E003355,delivered,Seattle,CO,SHP000791
2025-05-13 13:00:00,ORD0001562,E001304,picked_up,Chicago,CO,SHP001180
2025-06-13 12:00:00,ORD0001315,E005291,label_created,New York,TX,SHP000305
2025-07-06 06:00:00,ORD0001412,E003203,out_for_delivery,Phoenix,CA,SHP000457
2025-11-27 08:00:00,ORD0001200,E005081,delivered,Los Angeles,WA,SHP000347
2025-07-19 00:00:00,ORD0000662,E003551,out_for_delivery,Denver,CA,SHP000133
2025-01-13 07:00:00,ORD0000392,E005512,label_created,Dallas,AZ,SHP000426
2025-09-06 02:00:00,ORD0002048,E005549,out_for_delivery,New York,IL,SHP000235
2025-09-05 23:00:00,ORD0002082,E001725,in_transit,Miami,NY,SHP001783
2025-01-06 20:00:00,ORD0002170,E003154,out_for_delivery,Miami,AZ,SHP001663
2025-01-26 01:00:00,ORD0000568,E000987,in_transit,New York,AZ,SHP001005
2025-10-06 15:00:00,ORD0001996,E002544,in_transit,Seattle,WA,SHP000947
2025-10-12 01:00:00,ORD0002015,E005606,picked_up,New York,IL,SHP001235
2025-08-23 05:00:00,ORD0000075,E001728,in_transit,New York,WA,SHP000234
2025-10-30 16:00:00,ORD0000851,E002508,out_for_delivery,New York,CO,SHP001366
2025-02-04 15:00:00,ORD0000220,E004505,delivered,New York,AZ,SHP000166
2025-11-06 07:00:00,ORD0000371,E004149,in_transit,Dallas,IL,SHP001561
2025-09-13 00:00:00,ORD0000802,E002288,in_transit,Los Angeles,TX,SHP000872
2025-04-28 17:00:00,ORD0001217,E002407,out_for_delivery,Denver,CA,SHP000434
2025-12-06 07:00:00,ORD0001615,E000043,in_transit,Los Angeles,NY,SHP001013
2025-10-11 01:00:00,ORD0001427,E005629,in_transit,Phoenix,FL,SHP000114
2025-07-03 20:00:00,ORD0001054,E005419,out_for_delivery,Seattle,WA,SHP000841
2025-02-24 08:00:00,ORD0000254,E003870,delivered,Miami,IL,SHP000671
2025-10-17 21:00:00,ORD0002070,E003767,out_for_delivery,Seattle,IL,SHP001154
2025-04-22 22:00:00,ORD0000365,E002492,out_for_delivery,New York,CO,SHP001162
2025-04-13 16:00:00,ORD0000190,E002300,in_transit,Phoenix,CA,SHP001645
2025-02-16 23:00:00,ORD0002018,E000839,in_transit,Miami,CO,SHP000664
2025-01-28 13:00:00,ORD0001052,E005601,in_transit,Seattle,IL,SHP001696
2025-07-31 22:00:00,ORD0001050,E000481,delivered,Phoenix,NY,SHP001791
2025-03-31 13:00:00,ORD0000517,E001654,delivered,Miami,WA,SHP000100
