,bird_id,common_name,family,field_guide_region
0,B00001,Sparrow,Warbler,Canyon Pass
1,B00002,Goldfinch,Warbler,Canyon Pass
2,B00003,Jay,Gull,North Rim
3,B00004,Heron,Warbler,Canyon Pass
4,B00005,Heron,Woodpecker,South Rim
5,B00006,Pelican,Woodpecker,South Rim
6,B00007,Sparrow,Woodpecker,South Rim
7,B00008,Chickadee,Woodpecker,Meadow Loop
8,B00009,Hawk,Warbler,Meadow Loop
9,B00010,Sparrow,Warbler,River Trail
10,B00011,Falcon,Raptor,North Rim
11,B00012,Kestrel,Finch,Canyon Pass
12,B00013,Chickadee,Woodpecker,South Rim
13,B00014,Chickadee,Owl,North Rim
14,B00015,Chickadee,Gull,River Trail
15,B00016,Goldfinch,Woodpecker,River Trail
16,B00017,Falcon,Gull,Meadow Loop
17,B00018,Sparrow,Raptor,Canyon Pass
18,B00019,Goldfinch,Raptor,North Rim
19,B00020,Heron,Finch,South Rim
20,B00021,Falcon,Thrush,River Trail
21,B00022,Robin,Owl,Meadow Loop
22,B00023,Hawk,Gull,Meadow Loop
23,B00024,Kestrel,Owl,South Rim
24,B00025,Goldfinch,Finch,Meadow Loop
25,B00026,Jay,Owl,Canyon Pass
26,B00027,Heron,Woodpecker,River Trail
27,B00028,Goldfinch,Finch,Canyon Pass
28,B00029,Swallow,Finch,Meadow Loop
29,B00030,Heron,Thrush,South Rim
30,B00031,Heron,Owl,South Rim
31,B00032,Hawk,Woodpecker,Meadow Loop
32,B00033,Sparrow,Gull,South Rim
33,B00034,Swallow,Woodpecker,South Rim
34,B00035,Pelican,Woodpecker,South Rim
35,B00036,Bluebird,Owl,Meadow Loop
36,B00037,Pelican,Finch,South Rim
37,B00038,Goldfinch,Thrush,Meadow Loop
38,B00039,Wren,Thrush,Canyon Pass
39,B00040,Jay,Warbler,Canyon Pass
40,B00041,Hawk,Finch,Canyon Pass
41,B00042,Chickadee,Owl,North Rim
42,B00043,Chickadee,Finch,River Trail
43,B00044,Robin,Thrush,South Rim
44,B00045,Bluebird,Warbler,Canyon Pass
45,B00046,Kestrel,Woodpecker,Meadow Loop
46,B00047,Heron,Woodpecker,South Rim
47,B00048,Pelican,Raptor,River Trail
48,B00049,Jay,Owl,Meadow Loop
49,B00050,Goldfinch,Owl,River Trail
50,B00051,Chickadee,Woodpecker,River Trail
51,B00052,Hawk,Woodpecker,North Rim
52,B00053,Robin,Gull,River Trail
53,B00054,Falcon,Raptor,South Rim
54,B00055,Falcon,Gull,Canyon Pass
55,B00056,Bluebird,Raptor,Canyon Pass
56,B00057,Swallow,Raptor,Meadow Loop
57,B00058,Hawk,Gull,North Rim
58,B00059,Chickadee,Finch,Canyon Pass
59,B00060,Jay,Gull,South Rim
60,B00061,Pelican,Raptor,River Trail
61,B00062,Chickadee,Raptor,Canyon Pass
62,B00063,Robin,Thrush,Canyon Pass
63,B00064,Kestrel,Gull,North Rim
64,B00065,Heron,Gull,South Rim
65,B00066,Robin,Woodpecker,Meadow Loop
66,B00067,Pelican,Finch,River Trail
67,B00068,Robin,Finch,South Rim
68,B00069,Bluebird,Thrush,River Trail
69,B00070,Falcon,Warbler,Canyon Pass
70,B00071,Goldfinch,Raptor,South Rim
71,B00072,Hawk,Raptor,Meadow Loop
72,B00073,Falcon,Raptor,Meadow Loop
73,B00074,Sparrow,Raptor,Canyon Pass
74,B00075,Jay,Owl,South Rim
75,B00076,Falcon,Thrush,South Rim
76,B00077,Robin,Raptor,River Trail
77,B00078,Hawk,Warbler,River Trail
78,B00079,Swallow,Raptor,River Trail
79,B00080,Jay,Gull,Meadow Loop
80,B00081,Kestrel,Thrush,Meadow Loop
81,B00082,Heron,Raptor,South Rim
82,B00083,Hawk,Thrush,Meadow Loop
83,B00084,Goldfinch,Woodpecker,South Rim
84,B00085,Jay,Owl,River Trail
85,B00086,Chickadee,Warbler,North Rim
86,B00087,Sparrow,Warbler,South Rim
87,B00088,Robin,Thrush,Canyon Pass
88,B00089,Chickadee,Finch,River Trail
89,B00090,Goldfinch,Owl,Meadow Loop
90,B00091,Heron,Gull,North Rim
91,B00092,Goldfinch,Woodpecker,Meadow Loop
92,B00093,Goldfinch,Raptor,South Rim
