,bird_id,sighting_date,observer,location,count_seen
0,B01604,2026-05-29,Morgan,Aspen Grove,6
1,B01604,2026-01-13,Jordan,Canyon Overlook,10
2,B01604,2026-04-05,Casey,Rocky Pass,2
3,B01604,2026-05-30,Morgan,Rocky Pass,11
4,B01604,2026-03-20,Sam,Wetlands,6
5,B01604,2026-04-04,Casey,Pine Lookout,6
6,B00855,2026-02-11,Morgan,Canyon Overlook,10
7,B00855,2026-01-12,Riley,Canyon Overlook,4
8,B00855,2026-04-19,Taylor,Pine Lookout,5
9,B00855,2026-03-19,Jordan,Lake Edge,4
10,B00855,2026-04-21,Casey,Rocky Pass,1
11,B00874,2026-06-12,Taylor,Pine Lookout,2
12,B00874,2026-06-02,Casey,Cliff Basin,4
13,B00874,2026-04-12,Riley,Canyon Overlook,5
14,B00874,2026-05-11,Alex,Wetlands,7
15,B00874,2026-05-27,Jordan,Canyon Overlook,9
16,B00874,2026-03-17,Sam,Pine Lookout,1
17,B00874,2026-05-02,Quinn,Canyon Overlook,2
18,B01559,2026-05-01,Casey,Rocky Pass,1
19,B01559,2026-02-28,Alex,Pine Lookout,2
20,B01559,2026-02-17,Quinn,Rocky Pass,9
21,B01559,2026-01-26,Jordan,Cliff Basin,3
22,B01559,2026-05-05,Quinn,Pine Lookout,1
23,B01559,2026-05-16,Alex,Sunset Ridge,3
24,B01559,2026-01-04,Riley,Aspen Grove,9
25,B00783,2026-02-21,Riley,Canyon Overlook,6
26,B00783,2026-03-10,Jordan,Sunset Ridge,11
27,B00783,2026-05-16,Morgan,Aspen Grove,6
28,B00783,2026-05-11,Riley,Sunset Ridge,7
29,B00783,2026-01-02,Riley,Aspen Grove,5
30,B01027,2026-05-23,Riley,Canyon Overlook,8
31,B01027,2026-05-01,Alex,Sunset Ridge,10
32,B01027,2026-05-28,Casey,Wetlands,8
33,B01027,2026-06-13,Sam,Rocky Pass,3
34,B01027,2026-06-28,Taylor,Canyon Overlook,9
35,B01027,2026-03-18,Morgan,Lake Edge,7
36,B00914,2026-01-01,Sam,Wetlands,9
37,B00914,2026-02-21,Sam,Rocky Pass,9
38,B00914,2026-04-15,Morgan,Canyon Overlook,5
39,B00914,2026-06-26,Riley,Sunset Ridge,10
40,B00914,2026-06-22,Riley,Cliff Basin,7
41,B00951,2026-04-19,Riley,Sunset Ridge,7
42,B00951,2026-05-10,Taylor,Aspen Grove,4
43,B00951,2026-06-23,Casey,Cliff Basin,7
44,B00951,2026-04-25,Taylor,Pine Lookout,11
45,B00951,2026-01-01,Sam,Cliff Basin,5
46,B00892,2026-06-05,Morgan,Sunset Ridge,2
47,B00892,2026-01-31,Casey,Aspen Grove,9
48,B00892,2026-05-13,Casey,Cliff Basin,5
49,B00892,2026-06-11,Taylor,Pine Lookout,11
50,B00892,2026-01-13,Sam,Aspen Grove,10
51,B00892,2026-06-01,Quinn,Aspen Grove,6
52,B00892,2026-04-18,Alex,Cliff Basin,1
53,B00074,2026-04-23,Casey,Lake Edge,8
54,B00074,2026-01-01,Casey,Sunset Ridge,2
55,B00074,2026-03-25,Sam,Canyon Overlook,4
56,B00074,2026-01-30,Quinn,Rocky Pass,6
57,B00740,2026-06-05,Sam,Pine Lookout,3
58,B00740,2026-01-25,Morgan,Aspen Grove,10
59,B00740,2026-03-01,Taylor,Wetlands,4
60,B00740,2026-03-20,Jordan,Lake Edge,6
61,B00740,2026-04-28,Jordan,Canyon Overlook,1
62,B00740,2026-02-09,Morgan,Cliff Basin,6
63,B00379,2026-04-04,Quinn,Lake Edge,4
64,B00379,2026-04-01,Quinn,Canyon Overlook,9
65,B00379,2026-06-12,Morgan,Sunset Ridge,1
66,B00379,2026-04-21,Riley,Wetlands,10
67,B00379,2026-03-18,Sam,Canyon Overlook,2
68,B00379,2026-04-03,Morgan,Cliff Basin,2
69,B00180,2026-03-21,Sam,Sunset Ridge,5
70,B00180,2026-02-24,Jordan,Rocky Pass,9
71,B00180,2026-02-20,Sam,Pine Lookout,1
72,B00180,2026-06-08,Morgan,Rocky Pass,9
73,B00411,2026-06-27,Taylor,Sunset Ridge,5
74,B00411,2026-05-08,Jordan,Aspen Grove,9
75,B00411,2026-03-12,Alex,Canyon Overlook,3
76,B00411,2026-04-14,Morgan,Aspen Grove,1
77,B00411,2026-06-11,Jordan,Pine Lookout,6
78,B00411,2026-06-13,Quinn,Wetlands,10
