observer_badge,observer_id,cert_level
B0001,2001,Trainee
B0002,2002,Certified
B0003,2003,Certified
B0004,2004,Certified
B0005,2005,Certified
B0006,2006,Certified
B0007,2007,Certified
B0008,2008,Certified
B0009,2009,Trainee
B0010,2010,Certified
B0011,2011,Certified
B0012,2012,Trainee
B0013,2013,Certified
B0014,2014,Certified
B0015,2015,Certified
B0016,2016,Senior
B0017,2017,Trainee
B0018,2018,Trainee
B0019,2019,Certified
B0020,2020,Trainee
B0021,2021,Trainee
B0022,2022,Certified
B0023,2023,Trainee
B0024,2024,Certified
B0025,2025,Senior
B0026,2026,Trainee
B0027,2027,Certified
B0028,2028,Certified
B0029,2029,Senior
B0030,2030,Certified
B0031,2031,Trainee
B0032,2032,Senior
B0033,2033,Senior
B0034,2034,Trainee
B0035,2035,Certified
B0036,2036,Certified
B0037,2037,Certified
B0038,2038,Trainee
B0039,2039,Certified
B0040,2040,Certified
B0041,2041,Certified
B0042,2042,Trainee
B0043,2043,Trainee
B0044,2044,Certified
B0045,2045,Certified
B0046,2046,Trainee
B0047,2047,Trainee
B0048,2048,Certified
B0049,2049,Trainee
B0050,2050,Trainee
B0051,2051,Trainee
B0052,2052,Certified
B0053,2053,Certified
B0054,2054,Certified
B0055,2055,Trainee
B0056,2056,Certified
B0057,2057,Certified
B0058,2058,Senior
B0059,2059,Senior
B0060,2060,Trainee
B0061,2061,Trainee
B0062,2062,Certified
B0063,2063,Senior
B0064,2064,Certified
B0065,2065,Certified
B0066,2066,Senior
B0067,2067,Certified
B0068,2068,Senior
B0069,2069,Trainee
B0070,2070,Certified
B0071,2071,Certified
B0072,2072,Trainee
B0073,2073,Senior
B0074,2074,Trainee
B0075,2075,Certified
B0076,2076,Trainee
B0077,2077,Certified
B0078,2078,Certified
B0079,2079,Trainee
B0080,2080,Certified
B0081,2081,Certified
B0082,2082,Certified
B0083,2083,Certified
B0084,2084,Trainee
B0085,2085,Trainee
B0086,2086,Certified
B0087,2087,Certified
B0088,2088,Trainee
B0089,2089,Senior
B0090,2090,Certified
B0091,2091,Trainee
B0092,2092,Certified
B0093,2093,Trainee
B0094,2094,Certified
B0095,2095,Certified
B0096,2096,Certified
B0097,2097,Senior
B0098,2098,Certified
B0099,2099,Certified
B0100,2100,Certified
B0101,2101,Certified
B0102,2102,Trainee
B0103,2103,Certified
B0104,2104,Senior
B0105,2105,Certified
B0106,2106,Certified
B0107,2107,Certified
B0108,2108,Certified
B0109,2109,Certified
B0110,2110,Trainee
B0111,2111,Senior
B0112,2112,Senior
B0113,2113,Certified
B0114,2114,Certified
B0115,2115,Trainee
B0116,2116,Senior
B0117,2117,Certified
B0118,2118,Certified
B0119,2119,Certified
B0120,2120,Trainee
B0121,2121,Certified
B0122,2122,Trainee
B0123,2123,Certified
B0124,2124,Trainee
B0125,2125,Senior
B0126,2126,Certified
B0127,2127,Certified
B0128,2128,Trainee
B0129,2129,Certified
B0130,2130,Certified
B0131,2131,Certified
B0132,2132,Trainee
B0133,2133,Certified
B0134,2134,Trainee
B0135,2135,Certified
B0136,2136,Certified
B0137,2137,Certified
B0138,2138,Certified
B0139,2139,Certified
B0140,2140,Certified
B0141,2141,Certified
B0142,2142,Certified
B0143,2143,Senior
B0144,2144,Certified
B0145,2145,Trainee
B0146,2146,Certified
B0147,2147,Certified
B0148,2148,Certified
B0149,2149,Certified
B0150,2150,Certified
B0151,2151,Senior
B0152,2152,Trainee
B0153,2153,Certified
B0154,2154,Certified
B0155,2155,Trainee
B0156,2156,Certified
B0157,2157,Certified
B0158,2158,Senior
B0159,2159,Certified
B0160,2160,Certified
B0161,2161,Senior
B0162,2162,Trainee
B0163,2163,Trainee
B0164,2164,Certified
B0165,2165,Certified
B0166,2166,Certified
B0167,2167,Senior
B0168,2168,Certified
B0169,2169,Senior
B0170,2170,Certified
B0171,2171,Certified
B0172,2172,Trainee
B0173,2173,Trainee
B0174,2174,Senior
B0175,2175,Certified
B0176,2176,Trainee
B0177,2177,Certified
B0178,2178,Senior
B0179,2179,Trainee
B0180,2180,Certified
B0181,2181,Trainee
B0182,2182,Senior
B0183,2183,Certified
B0184,2184,Trainee
B0185,2185,Senior
B0186,2186,Certified
B0187,2187,Certified
B0188,2188,Certified
B0189,2189,Trainee
B0190,2190,Trainee
B0191,2191,Trainee
B0192,2192,Trainee
B0193,2193,Trainee
B0194,2194,Trainee
B0195,2195,Senior
B0196,2196,Trainee
B0197,2197,Certified
B0198,2198,Trainee
B0199,2199,Trainee
B0200,2200,Certified
B0201,2201,Senior
B0202,2202,Certified
B0203,2203,Trainee
B0204,2204,Senior
B0205,2205,Trainee
B0206,2206,Certified
B0207,2207,Certified
B0208,2208,Senior
B0209,2209,Certified
B0210,2210,Certified
B0211,2211,Certified
B0212,2212,Certified
B0213,2213,Senior
B0214,2214,Senior
B0215,2215,Certified
B0216,2216,Trainee
B0217,2217,Certified
B0218,2218,Certified
B0219,2219,Certified
B0220,2220,Certified
B0221,2221,Trainee
B0222,2222,Certified
B0223,2223,Certified
B0224,2224,Certified
B0225,2225,Trainee
B0226,2226,Certified
B0227,2227,Trainee
B0228,2228,Trainee
B0229,2229,Senior
B0230,2230,Certified
B0231,2231,Senior
B0232,2232,Certified
B0233,2233,Trainee
B0234,2234,Certified
B0235,2235,Trainee
B0236,2236,Certified
B0237,2237,Trainee
B0238,2238,Certified
B0239,2239,Trainee
B0240,2240,Certified
B0241,2241,Senior
B0242,2242,Certified
B0243,2243,Certified
B0244,2244,Certified
B0245,2245,Trainee
B0246,2246,Certified
B0247,2247,Senior
B0248,2248,Trainee
B0249,2249,Certified
B0250,2250,Certified
B0251,2251,Certified
B0252,2252,Trainee
B0253,2253,Certified
B0254,2254,Certified
B0255,2255,Certified
B0256,2256,Trainee
B0257,2257,Certified
B0258,2258,Trainee
B0259,2259,Certified
B0260,2260,Certified
B0261,2261,Trainee
B0262,2262,Certified
B0263,2263,Certified
B0264,2264,Certified
B0265,2265,Senior
B0266,2266,Certified
B0267,2267,Trainee
