sighting_id,sighting_ts,park_name,trail_id,observer_badge,species_raw,count_seen
S000001,2025-08-13,Grand Canyon National Park ,T024,B0371,SC18,8
S000002,2025-08-15,yElLoWsToNe National Park,T114,B0302,SC30,4
S000003,2025-08-05,Redwood National Park ,T031,B0260,SC04,2
S000004,2025-08-03,rEdWoOd National Park,T096,,SC26,1
S000005,2025-08-21,Redwood National Park ,T109,,SC19,4
S000006,2025-06-06,zion National Park,T114,B0055,SC12 - Elk,3
S000007,2025-07-30,yElLoWsToNe National Park,T021,B0148,SC26,2
S000008,2025-07-09,zion National Park,T040,B0307,SC03,1
S000009,2025-07-21,yellowstone National Park,T065,B0189,SC25 - Mountain Goat,1
S000010,2025-06-15,glacier National Park,T041,,SC19,3
S000011,2025-08-21,zIoN National Park,T058,B0372,sc07,1
S000012,2025-08-26,Glacier National Park ,T030,B0398,SC14,1
S000013,2025-06-17,gLaCiEr National Park,T008,B0183,SC02,1
S000014,2025-06-06,Redwood National Park ,T027,B0345,SC12 - Elk,1
S000015,2025-07-10,rEdWoOd National Park,T082,B0395,SC09,1
S000016,2025-08-24,zion National Park,T074,B0033,SC10,2
S000017,2025-06-03,zIoN National Park,T043,B0055,SC03 - River Otter,4
S000018,2025-06-23,glacier National Park,T058,B0245,SC12 - Elk,4
S000019,2025-06-05,acadia National Park,T077,,SC26,1
S000020,2025-07-22,gLaCiEr National Park,T098,B0138,SC29,1
S000021,2025-08-28,zIoN National Park,T017,B0294,SC22,3
S000022,2025-07-20,Glacier National Park ,T003,B0312,SC18,2
S000023,2025-07-25,glacier National Park,T111,B0204,SC08,2
S000024,2025-06-11,zIoN National Park,T046,B0167,SC09,1
S000025,2025-06-17,gLaCiEr National Park,T063,B0234,SC30,2
S000026,2025-07-12,gRaNd Canyon National Park,T025,B0068,SC25,1
S000027,2025-07-14,yElLoWsToNe National Park,T026,B0276,SC14,3
S000028,2025-07-29,Zion National Park ,T078,,SC05,2
S000029,2025-06-20,Acadia National Park ,T002,B0302,SC05,4
S000030,2025-06-19,rEdWoOd National Park,T041,B0351,SC10,1
S000031,2025-07-15,gLaCiEr National Park,T078,,SC04,3
S000032,2025-08-22,Grand Canyon National Park ,T108,B0228,SC12,4
S000033,2025-07-28,gRaNd Canyon National Park,T019,B0145,SC02,1
S000034,2025-06-01,redwood National Park,T052,B0145,SC12 - Elk,1
S000035,2025-06-13,yellowstone National Park,T083,B0141,SC12 - Elk,2
S000036,2025-07-16,grand Canyon National Park,T084,B0095,SC14,3
S000037,2025-06-22,yElLoWsToNe National Park,T035,B0326,SC14,1
S000038,2025-06-17,acadia National Park,T054,B0058,SC10,2
S000039,2025-07-17,gLaCiEr National Park,T101,B0277,SC04,3
S000040,2025-07-31,gRaNd Canyon National Park,T110,,SC27,1
S000041,2025-08-22,gRaNd Canyon National Park,T047,B0015,SC08,1
S000042,2025-06-16,Glacier National Park ,T025,B0124,SC12 - Elk,1
S000043,2025-06-20,Redwood National Park ,T067,B0065,SC16,2
S000044,2025-08-14,gRaNd Canyon National Park,T093,B0361,SC13,2
S000045,2025-07-15,acadia National Park,T017,B0185,SC18,5
S000046,2025-08-29,Acadia National Park ,T010,B0009,SC26,4
S000047,2025-08-04,aCaDiA National Park,T073,,SC20,2
S000048,2025-08-28,Acadia National Park ,T034,,SC08,3
S000049,2025-07-03,Grand Canyon National Park ,T120,B0275,SC03 - River Otter,2
S000050,2025-07-10,aCaDiA National Park,T029,B0164,SC19,1
S000051,2025-07-19,yElLoWsToNe National Park,T061,B0148,SC06,1
S000052,2025-08-18,glacier National Park,T013,B0156,SC25,1
S000053,2025-07-08,redwood National Park,T012,B0256,SC01,1
S000054,2025-07-10,grand Canyon National Park,T113,B0035,SC12,2
S000055,2025-06-15,zIoN National Park,T078,,SC14,2
S000056,2025-06-28,yellowstone National Park,T079,B0128,SC01,3
S000057,2025-07-22,yElLoWsToNe National Park,T119,B0112,SC11,2
S000058,2025-06-03,Grand Canyon National Park ,T063,B0258,SC03 - River Otter,3
S000059,2025-08-21,Yellowstone National Park ,T046,B0008,SC21,2
S000060,2025-07-27,Grand Canyon National Park ,T072,B0308,SC08,1
S000061,2025-06-02,Grand Canyon National Park ,T030,B0130,SC04,3
S000062,2025-08-06,Yellowstone National Park ,T062,,SC24,2
S000063,2025-07-01,zion National Park,T087,B0243,SC14,1
S000064,2025-08-13,zion National Park,T020,B0289,SC05,2
S000065,2025-08-27,zion National Park,T095,B0350,SC12 - Elk,1
S000066,2025-08-08,glacier National Park,T103,B0391,SC06,1
S000067,2025-07-16,grand Canyon National Park,T051,B0080,SC28,2
S000068,2025-07-15,yElLoWsToNe National Park,T071,,SC22,2
S000069,2025-07-01,gLaCiEr National Park,T087,B0064,SC02,5
S000070,2025-08-20,Zion National Park ,T069,B0261,SC12,1
S000071,2025-08-09,Glacier National Park ,T110,B0170,SC27,3
S000072,2025-07-23,Acadia National Park ,T022,B0047,SC21,4
S000073,2025-07-10,rEdWoOd National Park,T024,B0071,SC04,4
S000074,2025-08-05,Acadia National Park ,T107,B0063,SC08,4
S000075,2025-07-18,yElLoWsToNe National Park,T062,B0358,SC16,1
S000076,2025-08-17,yellowstone National Park,T029,B0053,SC03,5
S000077,2025-08-15,aCaDiA National Park,T102,,SC10,1
S000078,2025-07-10,zion National Park,T077,,SC21,3
S000079,2025-06-12,zIoN National Park,T081,,SC02,3
S000080,2025-07-08,rEdWoOd National Park,T097,,SC26,2
S000081,2025-07-25,redwood National Park,T099,B0305,SC18,2
S000082,2025-08-28,glacier National Park,T111,B0022,SC28,1
S000083,2025-06-27,Redwood National Park ,T073,B0306,SC25,8
S000084,2025-08-24,glacier National Park,T040,,SC16,2
S000085,2025-07-03,zIoN National Park,T089,B0253,SC01,2
S000086,2025-07-09,zIoN National Park,T073,,SC08,1
S000087,2025-07-22,gRaNd Canyon National Park,T089,B0122,SC08,2
S000088,2025-08-22,yellowstone National Park,T076,B0334,SC21,3
S000089,2025-06-02,Yellowstone National Park ,T015,B0314,SC19,3
S000090,2025-07-15,yElLoWsToNe National Park,T056,B0154,SC07,1
S000091,2025-08-14,grand Canyon National Park,T019,B0057,SC02,1
S000092,2025-08-14,Redwood National Park ,T099,,SC24,1
S000093,2025-07-19,acadia National Park,T021,B0206,SC30,1
S000094,2025-06-03,acadia National Park,T089,B0042,SC29,1
S000095,2025-07-02,redwood National Park,T056,B0242,SC25,1
S000096,2025-07-02,gLaCiEr National Park,T093,B0024,SC07,4
S000097,2025-07-20,aCaDiA National Park,T081,B0062,SC04,2
S000098,2025-06-16,Redwood National Park ,T087,B0187,SC25,4
S000099,2025-07-16,Grand Canyon National Park ,T007,B0114,SC20,4
S000100,2025-06-07,Redwood National Park ,T091,B0065,SC09,5
S000101,2025-08-24,gRaNd Canyon National Park,T076,,SC17,1
S000102,2025-06-23,zIoN National Park,T053,B0387,sc07,1
S000103,2025-06-09,zIoN National Park,T060,B0360,SC04,3
S000104,2025-06-18,glacier National Park,T116,B0024,SC20,4
S000105,2025-07-02,zIoN National Park,T087,B0300,sc07,3
S000106,2025-08-11,Zion National Park ,T083,B0049,SC12,1
S000107,2025-07-13,Yellowstone National Park ,T032,B0218,SC25 - Mountain Goat,3
S000108,2025-08-13,zion National Park,T066,B0331,SC09,2
S000109,2025-07-02,yElLoWsToNe National Park,T009,,SC09,3
S000110,2025-07-29,Redwood National Park ,T058,B0075,SC02,1
S000111,2025-08-12,gRaNd Canyon National Park,T018,B0385,SC09,4
S000112,2025-07-09,Zion National Park ,T014,B0342,SC17,1
S000113,2025-07-20,gRaNd Canyon National Park,T060,B0152,SC16,3
S000114,2025-06-01,Acadia National Park ,T010,B0345,SC03 - River Otter,3
S000115,2025-07-02,grand Canyon National Park,T082,B0249,SC10,3
S000116,2025-06-24,redwood National Park,T031,B0119,SC04,3
S000117,2025-06-08,zIoN National Park,T002,B0205,SC16,3
S000118,2025-06-01,yElLoWsToNe National Park,T041,B0245,SC18,2
S000119,2025-07-30,Glacier National Park ,T079,B0109,SC01,1
S000120,2025-07-01,Yellowstone National Park ,T086,B0198,SC24,2
S000121,2025-07-19,Grand Canyon National Park ,T077,,SC03 - River Otter,1
S000122,2025-06-21,Redwood National Park ,T013,B0323,SC12,5
S000123,2025-08-04,Redwood National Park ,T042,B0335,SC19,2
S000124,2025-07-30,Acadia National Park ,T074,B0354,SC03 - River Otter,1
S000125,2025-06-03,Yellowstone National Park ,T005,,SC26,2
S000126,2025-08-10,Yellowstone National Park ,T093,B0319,SC20,3
S000127,2025-07-05,grand Canyon National Park,T068,B0089,SC04,3
S000128,2025-07-20,aCaDiA National Park,T115,B0032,SC07,2
S000129,2025-08-17,Yellowstone National Park ,T032,B0173,SC13,1
S000130,2025-06-29,Redwood National Park ,T049,,SC21,2
S000131,2025-06-05,Zion National Park ,T030,B0318,SC08,1
S000132,2025-08-02,redwood National Park,T043,B0400,SC03,2
S000133,2025-07-18,Yellowstone National Park ,T063,B0264,Sc18,1
S000134,2025-06-21,zIoN National Park,T050,B0107,SC28,4
S000135,2025-06-18,Glacier National Park ,T106,B0303,SC23,7
S000136,2025-07-10,Acadia National Park ,T084,B0306,SC25,1
S000137,2025-08-26,zIoN National Park,T037,B0253,SC29,1
S000138,2025-08-22,zion National Park,T083,B0381,SC30,4
S000139,2025-08-27,aCaDiA National Park,T075,B0387,SC05,4
S000140,2025-06-15,Glacier National Park ,T004,B0283,SC09,3
S000141,2025-06-17,zIoN National Park,T097,B0273,Sc18,2
S000142,2025-06-18,Zion National Park ,T105,B0136,SC15,4
S000143,2025-06-08,zion National Park,T038,B0143,SC05,4
S000144,2025-08-01,zion National Park,T100,B0112,SC23,3
S000145,2025-08-11,Zion National Park ,T106,B0265,SC16,1
S000146,2025-07-06,grand Canyon National Park,T036,,SC10,1
S000147,2025-08-04,Yellowstone National Park ,T074,B0110,SC12,3
S000148,2025-06-22,Redwood National Park ,T094,B0235,SC24,1
S000149,2025-07-01,Grand Canyon National Park ,T006,B0003,SC10,1
S000150,2025-08-13,aCaDiA National Park,T065,B0201,SC30,2
S000151,2025-07-28,gLaCiEr National Park,T106,B0267,SC06,1
S000152,2025-07-16,glacier National Park,T070,B0340,SC27,4
S000153,2025-07-27,zIoN National Park,T100,,SC08,1
S000154,2025-06-10,Redwood National Park ,T074,,Sc18,3
S000155,2025-06-02,zIoN National Park,T104,B0369,SC01,4
S000156,2025-06-21,zion National Park,T039,B0077,SC07,3
S000157,2025-06-17,yElLoWsToNe National Park,T040,B0108,SC02,4
S000158,2025-06-16,rEdWoOd National Park,T106,B0271,SC28,2
S000159,2025-07-06,Grand Canyon National Park ,T016,B0261,SC12,4
S000160,2025-08-06,gLaCiEr National Park,T011,B0361,SC15,5
S000161,2025-06-20,Redwood National Park ,T007,B0299,SC09,3
S000162,2025-08-09,redwood National Park,T025,B0364,SC11,1
S000163,2025-08-17,grand Canyon National Park,T081,B0297,SC03 - River Otter,1
S000164,2025-08-06,rEdWoOd National Park,T016,B0032,SC24,2
S000165,2025-07-09,glacier National Park,T092,B0236,SC13,1
S000166,2025-07-02,rEdWoOd National Park,T040,B0261,SC01,3
S000167,2025-06-12,Glacier National Park ,T098,B0353,SC04,2
S000168,2025-08-26,gLaCiEr National Park,T107,B0235,SC13,1
S000169,2025-08-03,acadia National Park,T047,,SC10,2
S000170,2025-08-04,gLaCiEr National Park,T022,B0004,SC22,4
S000171,2025-06-22,yElLoWsToNe National Park,T045,B0265,SC20,2
S000172,2025-07-14,Zion National Park ,T101,B0005,SC06,3
S000173,2025-06-02,Grand Canyon National Park ,T094,,SC17,5
S000174,2025-06-15,Zion National Park ,T107,B0023,SC27,2
S000175,2025-08-22,zIoN National Park,T014,B0349,SC02,2
S000176,2025-07-26,yElLoWsToNe National Park,T064,B0220,SC12,2
S000177,2025-07-06,Redwood National Park ,T107,B0062,SC10,1
S000178,2025-06-11,yellowstone National Park,T010,B0382,SC28,1
S000179,2025-07-20,acadia National Park,T066,B0133,SC16,3
S000180,2025-06-07,Redwood National Park ,T073,B0211,SC25,1
S000181,2025-06-11,Zion National Park ,T061,B0161,SC25,5
S000182,2025-07-17,Acadia National Park ,T035,B0147,SC28,1
S000183,2025-07-28,zion National Park,T106,B0182,SC09,2
S000184,2025-06-27,Zion National Park ,T116,B0111,SC26,5
S000185,2025-06-15,Zion National Park ,T005,B0252,SC25,1
S000186,2025-06-08,rEdWoOd National Park,T109,B0151,SC01,2
S000187,2025-08-03,yellowstone National Park,T039,B0238,SC16,1
S000188,2025-07-01,Acadia National Park ,T036,B0126,SC23,1
S000189,2025-07-16,Zion National Park ,T076,B0376,SC21,1
S000190,2025-08-28,gLaCiEr National Park,T053,B0160,SC03 - River Otter,4
S000191,2025-07-15,yellowstone National Park,T024,B0191,SC09,2
S000192,2025-08-12,grand Canyon National Park,T054,B0275,SC23,2
S000193,2025-07-27,grand Canyon National Park,T060,B0359,SC21,4
S000194,2025-08-29,gLaCiEr National Park,T082,B0257,SC17,1
S000195,2025-07-02,acadia National Park,T009,B0163,SC25,4
S000196,2025-07-12,gRaNd Canyon National Park,T038,B0082,SC12,2
S000197,2025-08-28,gRaNd Canyon National Park,T005,B0395,SC23,3
S000198,2025-08-18,redwood National Park,T002,B0323,SC16,2
S000199,2025-07-28,Zion National Park ,T075,B0150,SC12,5
S000200,2025-08-19,redwood National Park,T092,,SC08,2
S000201,2025-06-11,grand Canyon National Park,T086,B0193,SC19,3
S000202,2025-07-04,zion National Park,T038,B0268,SC30,1
S000203,2025-08-14,Zion National Park ,T073,,SC07,1
S000204,2025-07-19,Acadia National Park ,T066,B0057,SC30,2
S000205,2025-07-15,gRaNd Canyon National Park,T031,,SC03,2
S000206,2025-07-20,Glacier National Park ,T094,,SC25 - Mountain Goat,3
S000207,2025-06-30,gLaCiEr National Park,T021,B0164,SC16,2
S000208,2025-07-02,grand Canyon National Park,T103,B0356,SC14,3
S000209,2025-06-09,Redwood National Park ,T055,B0074,SC29,1
S000210,2025-08-12,zIoN National Park,T118,B0243,SC04,1
S000211,2025-08-27,redwood National Park,T041,,SC03,4
S000212,2025-07-07,rEdWoOd National Park,T108,B0308,SC28,2
S000213,2025-07-23,grand Canyon National Park,T002,B0213,SC08,1
S000214,2025-08-02,zion National Park,T011,B0225,SC13,2
S000215,2025-06-17,rEdWoOd National Park,T092,B0180,SC28,1
S000216,2025-06-06,Grand Canyon National Park ,T042,B0186,SC22,3
S000217,2025-07-13,Yellowstone National Park ,T047,B0238,SC25,4
S000218,2025-08-16,gRaNd Canyon National Park,T114,B0390,SC25 - Mountain Goat,4
S000219,2025-08-23,rEdWoOd National Park,T096,B0373,SC08,3
S000220,2025-08-07,Zion National Park ,T015,B0213,SC16,3
S000221,2025-08-16,zion National Park,T041,B0201,SC01,2
S000222,2025-07-20,zion National Park,T119,B0258,SC30,1
S000223,2025-08-01,gRaNd Canyon National Park,T039,B0393,SC30,6
S000224,2025-08-16,Glacier National Park ,T042,B0185,SC26,2
S000225,2025-07-24,gRaNd Canyon National Park,T059,B0091,SC08,1
S000226,2025-07-05,acadia National Park,T046,B0190,SC24,2
S000227,2025-08-09,Grand Canyon National Park ,T098,B0072,SC18,1
S000228,2025-08-20,grand Canyon National Park,T119,B0004,SC16,1
S000229,2025-07-06,Redwood National Park ,T007,B0029,SC15,2
S000230,2025-08-08,Glacier National Park ,T098,B0103,SC01,3
S000231,2025-06-27,gLaCiEr National Park,T064,B0163,SC06,3
S000232,2025-07-16,yellowstone National Park,T094,B0175,SC02,1
S000233,2025-06-18,aCaDiA National Park,T032,B0091,SC25,1
S000234,2025-07-22,yElLoWsToNe National Park,T087,B0341,SC03 - River Otter,2
S000235,2025-07-11,Yellowstone National Park ,T075,B0244,SC05,3
S000236,2025-08-25,Grand Canyon National Park ,T022,B0253,SC28,2
S000237,2025-08-08,zIoN National Park,T096,B0068,SC07,3
S000238,2025-08-22,Acadia National Park ,T082,B0366,SC04,3
S000239,2025-06-04,zIoN National Park,T096,B0335,SC11,4
S000240,2025-08-03,Grand Canyon National Park ,T046,B0337,SC27,2
S000241,2025-08-18,zion National Park,T073,B0211,SC03,3
S000242,2025-06-04,Acadia National Park ,T088,B0116,SC06,1
S000243,2025-07-20,gRaNd Canyon National Park,T020,B0127,SC28,2
S000244,2025-06-07,redwood National Park,T076,B0163,SC03,5
S000245,2025-08-26,Yellowstone National Park ,T018,B0352,SC29,3
S000246,2025-07-26,Acadia National Park ,T074,B0004,SC30,2
S000247,2025-08-11,glacier National Park,T112,B0168,SC21,1
S000248,2025-08-05,grand Canyon National Park,T003,B0142,SC11,1
S000249,2025-08-17,zion National Park,T106,B0013,SC21,2
S000250,2025-07-24,yellowstone National Park,T037,,SC24,2
S000251,2025-08-23,Grand Canyon National Park ,T038,,SC05,1
S000252,2025-08-08,glacier National Park,T030,B0108,SC03,2
S000253,2025-07-28,Redwood National Park ,T114,B0387,SC14,1
S000254,2025-08-20,grand Canyon National Park,T078,B0367,SC19,2
S000255,2025-07-07,zion National Park,T048,,SC12 - Elk,4
S000256,2025-08-15,yellowstone National Park,T090,B0387,SC29,1
S000257,2025-08-23,gRaNd Canyon National Park,T048,B0151,SC23,1
S000258,2025-08-12,zion National Park,T115,B0136,SC29,3
S000259,2025-08-03,redwood National Park,T017,B0128,SC13,5
S000260,2025-08-19,redwood National Park,T008,B0357,SC03 - River Otter,1
S000261,2025-07-31,glacier National Park,T010,B0208,SC26,2
S000262,2025-06-27,redwood National Park,T007,B0075,SC11,3
S000263,2025-06-04,acadia National Park,T070,B0001,SC21,3
S000264,2025-06-26,Glacier National Park ,T066,,SC14,1
S000265,2025-06-03,zIoN National Park,T038,B0335,SC12,1
S000266,2025-07-04,Acadia National Park ,T088,B0011,SC12 - Elk,3
S000267,2025-08-03,gLaCiEr National Park,T095,B0281,SC26,4
S000268,2025-08-26,Grand Canyon National Park ,T100,B0118,SC19,3
S000269,2025-06-26,yellowstone National Park,T107,B0027,SC03 - River Otter,5
S000270,2025-07-12,aCaDiA National Park,T084,B0042,sc07,1
S000271,2025-08-26,zion National Park,T002,B0146,SC04,1
S000272,2025-06-08,Acadia National Park ,T064,,SC04,2
S000273,2025-06-25,aCaDiA National Park,T081,B0217,Sc18,5
S000274,2025-08-01,Acadia National Park ,T088,B0325,SC07,1
S000275,2025-08-14,Zion National Park ,T004,B0377,SC12,2
S000276,2025-08-19,gLaCiEr National Park,T023,B0075,SC19,3
S000277,2025-07-29,Redwood National Park ,T120,B0317,SC09,1
S000278,2025-07-02,Glacier National Park ,T037,B0303,SC25 - Mountain Goat,1
S000279,2025-06-26,Acadia National Park ,T104,B0330,SC16,3
S000280,2025-08-26,aCaDiA National Park,T029,B0040,SC21,1
S000281,2025-07-07,redwood National Park,T049,B0395,SC30,3
S000282,2025-08-26,zIoN National Park,T067,B0117,SC14,3
S000283,2025-08-08,rEdWoOd National Park,T046,B0383,SC27,2
S000284,2025-08-09,yElLoWsToNe National Park,T084,,SC25 - Mountain Goat,2
S000285,2025-07-26,acadia National Park,T043,,SC26,3
S000286,2025-06-29,Glacier National Park ,T023,B0384,SC20,5
S000287,2025-07-07,yellowstone National Park,T107,B0081,SC26,4
S000288,2025-06-16,Yellowstone National Park ,T032,B0093,SC02,1
S000289,2025-08-20,Acadia National Park ,T054,B0128,SC12 - Elk,2
S000290,2025-07-16,glacier National Park,T112,B0124,SC22,2
S000291,2025-06-22,glacier National Park,T077,B0038,SC03,3
S000292,2025-06-03,aCaDiA National Park,T089,B0021,SC15,1
S000293,2025-06-22,Redwood National Park ,T020,,SC20,4
S000294,2025-06-30,Zion National Park ,T059,B0283,SC09,1
S000295,2025-06-05,zion National Park,T104,B0371,SC05,4
S000296,2025-06-22,Acadia National Park ,T037,B0042,SC23,1
S000297,2025-07-31,Yellowstone National Park ,T019,B0109,Sc18,1
S000298,2025-07-16,rEdWoOd National Park,T009,B0097,SC16,1
S000299,2025-07-20,acadia National Park,T068,,SC24,4
S000300,2025-08-11,rEdWoOd National Park,T003,B0090,SC09,3
S000301,2025-06-21,acadia National Park,T002,B0020,SC28,1
S000302,2025-06-21,glacier National Park,T027,,SC25 - Mountain Goat,1
S000303,2025-08-24,gRaNd Canyon National Park,T052,B0045,SC22,1
S000304,2025-08-18,acadia National Park,T040,B0147,SC15,5
S000305,2025-08-06,glacier National Park,T099,B0079,SC05,1
