account_id,account_open_date,account_tier,region_code
30000,2021-08-02,Pro,SE
30001,2022-06-28,Basic,SW
30001,2024-01-10,Basic,SE
30001,2021-01-07,Pro,NE
30002,2020-12-27,Basic,MW
30002,2020-04-02,Basic,SE
30003,2023-09-06,Basic,SE
30003,2020-11-19,Basic,NE
30004,2021-01-18,Pro,W
30005,2021-07-28,Basic,MW
30006,2022-01-05,Pro,MW
30007,2022-01-06,Basic,W
30007,2020-12-11,Pro,SE
30008,2023-01-31,Basic,SE
30008,2023-05-23,Pro,SW
30009,2023-04-30,Pro,SW
30009,2024-08-22,Basic,SE
30010,2021-12-19,Enterprise,MW
30011,2022-02-19,Pro,NE
30011,2022-10-16,Basic,SW
30011,2023-05-02,Basic,SE
30012,2023-11-04,Enterprise,SW
30012,2023-11-27,Pro,MW
30013,2021-10-25,Basic,NE
30014,2024-11-07,Basic,W
30015,2021-08-22,Pro,NE
30016,2020-01-11,Pro,W
30017,2020-07-05,Pro,SW
30017,2021-12-26,Basic,SE
30018,2022-11-04,Pro,SW
30019,2022-02-16,Basic,W
30020,2023-08-13,Basic,NE
30020,2021-02-14,Pro,SW
30021,2022-08-13,Enterprise,MW
30022,2021-08-07,Basic,W
30023,2022-12-11,Basic,SW
30024,2024-07-21,Pro,SW
30025,2022-11-17,Basic,SW
30025,2021-07-30,Pro,MW
30026,2022-11-06,Pro,NE
30027,2023-10-06,Basic,SE
30027,2023-12-22,Enterprise,MW
30028,2024-07-31,Pro,SE
30028,2023-06-06,Enterprise,MW
30029,2024-11-24,Pro,SW
30030,2022-09-15,Enterprise,NE
30030,2023-05-18,Basic,W
30031,2023-12-25,Basic,SW
30032,2023-08-10,Enterprise,SE
30033,2022-01-12,Basic,SE
30033,2024-11-11,Basic,SW
30033,2024-05-24,Pro,MW
30034,2023-02-01,Pro,W
30034,2020-07-22,Basic,NE
30034,2022-12-12,Enterprise,MW
30035,2022-08-31,Pro,SE
30035,2022-07-28,Basic,SW
30036,2023-10-30,Pro,SE
30037,2022-12-13,Basic,MW
30038,2023-07-23,Basic,NE
30038,2023-09-20,Basic,W
30039,2022-11-20,Basic,MW
30040,2023-03-04,Basic,SW
30041,2022-12-17,Pro,SW
30042,2020-04-14,Pro,MW
30043,2023-07-13,Pro,SE
30043,2024-03-25,Pro,NE
30043,2024-02-28,Basic,SW
30044,2020-09-09,Basic,W
30045,2020-10-21,Enterprise,SE
30045,2021-10-29,Basic,SW
30046,2023-03-27,Basic,SE
30047,2021-07-02,Pro,SE
30047,2021-09-22,Basic,NE
30048,2022-12-26,Enterprise,MW
30048,2024-11-12,Basic,SE
30049,2020-10-25,Basic,W
30050,2024-01-26,Basic,MW
30050,2024-10-14,Pro,SE
30050,2020-04-10,Basic,NE
30051,2022-12-15,Basic,SW
30051,2020-11-27,Enterprise,SE
30052,2022-04-15,Enterprise,NE
30052,2024-11-09,Basic,W
30052,2021-01-27,Basic,SE
30053,2024-11-01,Basic,SW
30053,2022-05-23,Enterprise,MW
30054,2021-01-15,Enterprise,MW
30054,2020-04-01,Basic,W
30055,2024-12-19,Pro,NE
30055,2021-03-22,Basic,SE
30055,2020-04-18,Basic,SW
30056,2020-11-12,Basic,W
30057,2023-04-06,Basic,MW
30058,2023-12-29,Basic,MW
30059,2021-03-17,Basic,MW
30060,2020-08-05,Pro,SW
30061,2023-05-30,Basic,MW
30062,2021-11-03,Pro,W
30062,2024-03-31,Basic,SW
30063,2020-10-04,Basic,MW
30064,2022-10-05,Basic,SW
30065,2021-07-22,Basic,NE
30065,2024-05-16,Basic,W
30066,2022-10-06,Basic,W
30067,2022-05-24,Basic,SW
30067,2021-04-10,Basic,NE
30068,2022-04-18,Pro,W
30069,2022-01-23,Pro,W
30069,2024-06-13,Basic,NE
30069,2024-05-26,Basic,SE
30070,2022-04-17,Basic,SW
30070,2020-01-30,Pro,MW
30071,2020-12-24,Basic,NE
30072,2023-08-04,Basic,W
30073,2020-03-26,Basic,MW
30073,2023-06-11,Enterprise,SE
30074,2022-01-16,Basic,SW
30074,2020-11-08,Pro,W
30075,2020-12-30,Basic,NE
30075,2024-12-05,Enterprise,SW
30076,2024-12-27,Pro,SE
30076,2022-06-23,Basic,SW
30077,2023-07-16,Pro,SW
30078,2021-11-28,Basic,NE
30079,2020-05-10,Pro,SW
30080,2022-03-13,Pro,W
30080,2022-02-27,Basic,SE
30081,2020-12-16,Pro,SW
30081,2020-06-28,Basic,W
30082,2024-12-30,Basic,MW
30083,2024-02-12,Basic,MW
30084,2023-04-01,Pro,W
30085,2024-12-11,Basic,NE
30086,2023-01-24,Basic,NE
30086,2022-02-12,Pro,SW
30087,2021-05-24,Basic,NE
30087,2020-12-30,Basic,SW
30088,2022-09-07,Basic,SW
30088,2020-12-18,Basic,W
30089,2022-03-10,Basic,NE
30090,2023-12-30,Basic,W
30091,2023-01-11,Enterprise,SE
30091,2023-06-02,Pro,NE
30092,2021-02-15,Basic,MW
30092,2022-01-04,Basic,NE
30093,2022-09-07,Basic,W
30093,2020-04-27,Pro,SE
30094,2021-04-26,Basic,NE
30094,2020-07-10,Basic,SE
30095,2021-08-13,Enterprise,SE
30096,2021-08-12,Basic,NE
30096,2021-10-20,Basic,MW
30097,2020-04-16,Enterprise,NE
30098,2021-01-16,Pro,SW
30099,2022-02-21,Basic,SW
30100,2021-01-24,Pro,SW
