account_id,region_code,ticket_id,ticket_open_date,issue_type
30000,SE,90000,2025-10-25,Other
30000,SE,90001,2025-04-04,Bug
30001,SW,90002,2025-10-05,Billing
30001,SW,90003,2025-02-07,Login
30001,SE,90004,2025-07-17,Other
30001,SE,90005,2025-01-07,Feature Request
30001,NE,90006,2025-11-28,Billing
30001,NE,90007,2025-11-12,Login
30001,NE,90008,2025-03-03,Login
30001,NE,90009,2025-01-18,Feature Request
30002,MW,90010,2025-05-15,Bug
30002,MW,90011,2025-11-06,Bug
30002,MW,90012,2025-04-03,Billing
30002,MW,90013,2025-07-08,Bug
30002,SE,90014,2025-07-06,Bug
30002,SE,90015,2025-03-10,Billing
30003,SE,90016,2025-01-08,Login
30003,NE,90017,2025-02-25,Login
30003,NE,90018,2025-12-26,Bug
30004,W,90019,2025-04-24,Billing
30005,MW,90020,2025-04-18,Feature Request
30005,MW,90021,2025-01-23,Other
30006,MW,90022,2025-05-24,Feature Request
30006,MW,90023,2025-12-17,Other
30007,W,90024,2025-11-03,Billing
30007,SE,90025,2025-12-11,Login
30008,SE,90026,2025-04-09,Other
30008,SE,90027,2025-11-15,Login
30008,SW,90028,2025-02-19,Feature Request
30008,SW,90029,2025-11-21,Login
30008,SW,90030,2025-10-27,Feature Request
30009,SW,90031,2025-09-22,Bug
30009,SW,90032,2025-07-12,Billing
30009,SE,90033,2025-10-29,Feature Request
30009,SE,90034,2025-10-20,Feature Request
30010,MW,90035,2025-08-28,Bug
30011,NE,90036,2025-03-22,Other
30011,NE,90037,2025-12-23,Bug
30011,SW,90038,2025-03-22,Other
30011,SE,90039,2025-01-06,Billing
30011,SE,90040,2025-08-10,Other
30012,SW,90041,2025-10-25,Login
30012,MW,90042,2025-01-03,Feature Request
30012,MW,90043,2025-08-09,Billing
30013,NE,90044,2025-12-15,Login
30014,W,90045,2025-08-16,Billing
30015,NE,90046,2025-10-20,Billing
30015,NE,90047,2025-07-12,Feature Request
30015,NE,90048,2025-09-14,Bug
30015,NE,90049,2025-04-13,Billing
30016,W,90050,2025-10-17,Login
30017,SW,90051,2025-11-05,Other
30017,SE,90052,2025-06-27,Feature Request
30017,SE,90053,2025-03-27,Login
30018,SW,90054,2025-02-11,Billing
30018,SW,90055,2025-11-23,Other
30018,SW,90056,2025-06-12,Feature Request
30019,W,90057,2025-12-30,Billing
30020,NE,90058,2025-09-20,Login
30020,NE,90059,2025-09-22,Bug
30020,SW,90060,2025-03-26,Feature Request
30020,SW,90061,2025-11-12,Bug
30020,SW,90062,2025-12-08,Login
30021,MW,90063,2025-05-10,Login
30022,W,90064,2025-03-24,Feature Request
30023,SW,90065,2025-08-18,Feature Request
30024,SW,90066,2025-05-06,Billing
30024,SW,90067,2025-12-20,Bug
30024,SW,90068,2025-03-29,Billing
30025,SW,90069,2025-03-04,Login
30025,MW,90070,2025-07-08,Bug
30026,NE,90071,2025-03-30,Feature Request
30026,NE,90072,2025-11-28,Billing
30027,SE,90073,2025-06-25,Feature Request
30027,SE,90074,2025-09-21,Other
30027,MW,90075,2025-02-11,Bug
30028,SE,90076,2025-04-29,Login
30028,SE,90077,2025-04-18,Bug
30028,MW,90078,2025-06-25,Other
30029,SW,90079,2025-07-08,Feature Request
30030,NE,90080,2025-03-15,Billing
30030,NE,90081,2025-05-20,Bug
30030,W,90082,2025-11-24,Login
30030,W,90083,2025-02-15,Billing
30030,W,90084,2025-01-09,Other
30030,W,90085,2025-04-18,Other
30031,SW,90086,2025-04-08,Bug
30032,SE,90087,2025-03-12,Billing
30032,SE,90088,2025-03-31,Bug
30032,SE,90089,2025-04-17,Feature Request
30033,SE,90090,2025-04-06,Bug
30033,SE,90091,2025-02-01,Bug
30033,SW,90092,2025-10-07,Login
30033,MW,90093,2025-04-30,Billing
30033,MW,90094,2025-05-20,Login
30034,W,90095,2025-12-09,Billing
30034,NE,90096,2025-07-27,Feature Request
30034,NE,90097,2025-02-02,Other
30034,NE,90098,2025-11-07,Other
30034,NE,90099,2025-03-25,Login
30034,NE,90100,2025-06-17,Billing
30034,MW,90101,2025-03-13,Billing
30034,MW,90102,2025-12-07,Login
30034,MW,90103,2025-04-06,Other
30035,SE,90104,2025-06-23,Billing
30035,SW,90105,2025-11-12,Bug
30036,SE,90106,2025-09-10,Login
30037,MW,90107,2025-07-31,Feature Request
30038,NE,90108,2025-09-08,Bug
30038,W,90109,2025-08-18,Bug
30039,MW,90110,2025-05-23,Other
30039,MW,90111,2025-11-08,Billing
30040,SW,90112,2025-06-23,Other
30041,SW,90113,2025-07-22,Login
30041,SW,90114,2025-10-18,Feature Request
30041,SW,90115,2025-09-16,Billing
30042,MW,90116,2025-07-25,Feature Request
30042,MW,90117,2025-12-15,Other
30042,MW,90118,2025-10-30,Bug
30043,SE,90119,2025-03-25,Billing
30043,SE,90120,2025-02-19,Login
30043,NE,90121,2025-11-25,Bug
30043,NE,90122,2025-09-15,Feature Request
30043,NE,90123,2025-09-29,Login
30043,SW,90124,2025-09-22,Login
30044,W,90125,2025-02-09,Feature Request
30045,SE,90126,2025-07-29,Feature Request
30045,SE,90127,2025-06-13,Bug
30045,SW,90128,2025-01-15,Login
30045,SW,90129,2025-07-29,Bug
30046,SE,90130,2025-05-11,Other
30046,SE,90131,2025-01-17,Billing
30047,SE,90132,2025-11-10,Login
30047,SE,90133,2025-11-30,Billing
30047,SE,90134,2025-07-03,Feature Request
30047,NE,90135,2025-01-12,Login
30047,NE,90136,2025-06-11,Other
30047,NE,90137,2025-09-29,Other
30047,NE,90138,2025-01-05,Feature Request
30048,MW,90139,2025-01-30,Other
30048,MW,90140,2025-06-27,Billing
30048,SE,90141,2025-09-18,Bug
30048,SE,90142,2025-05-21,Bug
30048,SE,90143,2025-11-01,Login
30049,W,90144,2025-02-19,Feature Request
30050,MW,90145,2025-02-15,Billing
30050,SE,90146,2025-03-23,Feature Request
30050,SE,90147,2025-10-17,Feature Request
30050,NE,90148,2025-11-26,Login
30051,SW,90149,2025-12-20,Bug
30051,SE,90150,2025-12-17,Billing
30052,NE,90151,2025-09-06,Feature Request
30052,NE,90152,2025-06-18,Bug
30052,W,90153,2025-03-01,Login
30052,SE,90154,2025-12-03,Login
30052,SE,90155,2025-07-09,Feature Request
30053,SW,90156,2025-10-08,Login
30053,MW,90157,2025-10-02,Login
30054,MW,90158,2025-01-15,Login
30054,W,90159,2025-07-27,Feature Request
30055,NE,90160,2025-12-31,Bug
30055,NE,90161,2025-06-09,Other
30055,NE,90162,2025-10-09,Feature Request
30055,SE,90163,2025-07-28,Other
30055,SW,90164,2025-04-07,Bug
30056,W,90165,2025-03-12,Billing
30056,W,90166,2025-12-17,Billing
30057,MW,90167,2025-05-07,Other
30057,MW,90168,2025-10-25,Other
30058,MW,90169,2025-09-24,Billing
30059,MW,90170,2025-05-29,Billing
30060,SW,90171,2025-06-17,Bug
30060,SW,90172,2025-05-28,Login
30060,SW,90173,2025-02-26,Billing
30060,SW,90174,2025-01-05,Bug
30060,SW,90175,2025-11-20,Feature Request
30061,MW,90176,2025-10-31,Feature Request
30061,MW,90177,2025-01-03,Login
30062,W,90178,2025-04-10,Bug
30062,SW,90179,2025-10-07,Feature Request
30062,SW,90180,2025-01-01,Feature Request
30063,MW,90181,2025-07-21,Feature Request
30064,SW,90182,2025-05-26,Billing
30065,NE,90183,2025-07-21,Billing
30065,NE,90184,2025-06-01,Login
30065,W,90185,2025-08-10,Billing
30065,W,90186,2025-04-09,Billing
30065,W,90187,2025-08-01,Other
30066,W,90188,2025-10-28,Feature Request
30067,SW,90189,2025-04-22,Bug
30067,SW,90190,2025-04-22,Other
30067,SW,90191,2025-09-30,Login
30067,NE,90192,2025-02-13,Other
30068,W,90193,2025-03-14,Other
30069,W,90194,2025-08-19,Login
30069,NE,90195,2025-03-09,Other
30069,SE,90196,2025-05-30,Feature Request
30069,SE,90197,2025-04-12,Billing
30069,SE,90198,2025-01-25,Login
30069,SE,90199,2025-03-02,Billing
30070,SW,90200,2025-08-30,Billing
30070,SW,90201,2025-11-28,Login
30070,MW,90202,2025-02-26,Login
30071,NE,90203,2025-08-03,Feature Request
30071,NE,90204,2025-01-11,Other
30071,NE,90205,2025-06-12,Bug
30071,NE,90206,2025-08-05,Bug
30072,W,90207,2025-08-29,Login
30072,W,90208,2025-02-14,Billing
30072,W,90209,2025-03-22,Bug
30073,MW,90210,2025-04-12,Bug
30073,MW,90211,2025-02-11,Feature Request
30073,MW,90212,2025-10-31,Billing
30073,SE,90213,2025-03-18,Billing
30073,SE,90214,2025-07-21,Other
30073,SE,90215,2025-08-09,Bug
30073,SE,90216,2025-04-22,Login
30074,SW,90217,2025-04-18,Feature Request
30074,W,90218,2025-04-04,Feature Request
30074,W,90219,2025-02-27,Other
30074,W,90220,2025-01-16,Other
30075,NE,90221,2025-11-22,Other
30075,NE,90222,2025-06-14,Other
30075,SW,90223,2025-08-03,Billing
30075,SW,90224,2025-05-18,Feature Request
30075,SW,90225,2025-10-29,Billing
30076,SE,90226,2025-01-19,Other
30076,SE,90227,2025-10-28,Other
30076,SE,90228,2025-06-11,Billing
30076,SW,90229,2025-02-13,Login
30077,SW,90230,2025-03-24,Feature Request
30077,SW,90231,2025-05-04,Bug
30077,SW,90232,2025-10-31,Bug
30078,NE,90233,2025-12-07,Login
30079,SW,90234,2025-05-08,Billing
30080,W,90235,2025-10-16,Login
30080,SE,90236,2025-12-18,Billing
30080,SE,90237,2025-10-08,Feature Request
30080,SE,90238,2025-12-30,Billing
30080,SE,90239,2025-09-23,Bug
30081,SW,90240,2025-12-21,Login
30081,W,90241,2025-11-17,Billing
30081,W,90242,2025-07-26,Login
30082,MW,90243,2025-06-30,Feature Request
30083,MW,90244,2025-09-30,Login
30083,MW,90245,2025-07-22,Other
30083,MW,90246,2025-06-02,Billing
30083,MW,90247,2025-08-29,Other
30084,W,90248,2025-11-17,Feature Request
30085,NE,90249,2025-03-21,Feature Request
30085,NE,90250,2025-05-29,Bug
30085,NE,90251,2025-11-22,Bug
30086,NE,90252,2025-01-29,Bug
30086,NE,90253,2025-07-05,Login
30086,NE,90254,2025-03-16,Other
30086,SW,90255,2025-03-10,Billing
30087,NE,90256,2025-07-29,Feature Request
30087,SW,90257,2025-11-04,Feature Request
30087,SW,90258,2025-04-13,Login
30088,SW,90259,2025-09-10,Feature Request
30088,SW,90260,2025-12-02,Login
30088,SW,90261,2025-07-21,Other
30088,SW,90262,2025-07-31,Billing
30088,W,90263,2025-08-19,Bug
30088,W,90264,2025-06-26,Other
30088,W,90265,2025-08-20,Feature Request
30089,NE,90266,2025-07-05,Login
30090,W,90267,2025-09-23,Other
30090,W,90268,2025-01-31,Bug
30090,W,90269,2025-09-16,Other
30091,SE,90270,2025-01-01,Other
30091,NE,90271,2025-07-26,Login
30091,NE,90272,2025-07-14,Billing
30092,MW,90273,2025-04-26,Feature Request
30092,MW,90274,2025-02-05,Bug
30092,MW,90275,2025-05-13,Login
30092,NE,90276,2025-01-11,Billing
30093,W,90277,2025-11-18,Feature Request
30093,W,90278,2025-08-28,Login
30093,W,90279,2025-03-01,Billing
