sku_id,category,store_id,sales_channel,week_start,forecast_units,forecast_confidence
10034,Apparel,125,InStore,2025-12-01,29,0.574
10135,Grocery,167,InStore,2025-12-08,32,0.752
10086,Grocery,251,Online,2025-11-03,30,0.961
10105,Apparel,203,Pickup,2025-10-06,28,0.525
10167,Electronics,192,Online,2025-10-13,31,0.643
10022,Home,242,InStore,2025-10-13,24,0.635
10145,Grocery,123,Online,2025-10-20,30,0.751
10059,Grocery,172,Pickup,2025-11-03,28,0.827
10030,Beauty,189,Pickup,2025-11-03,43,0.83
10019,Beauty,210,Online,2025-12-01,36,0.956
10002,Beauty,142,Online,2025-10-20,27,0.81
10089,Grocery,236,Pickup,2025-10-13,29,0.822
10021,Apparel,168,Online,2025-10-13,34,0.509
10064,Grocery,227,InStore,2025-10-06,31,0.909
10079,Grocery,235,Online,2025-11-10,27,0.623
10023,Electronics,100,Online,2025-10-27,40,0.83
10033,Apparel,175,Pickup,2025-12-15,37,0.702
10016,Beauty,155,Pickup,2025-11-24,26,0.575
10141,Apparel,106,Pickup,2025-12-22,25,0.537
10040,Apparel,119,Pickup,2025-12-01,38,0.627
10121,Apparel,144,InStore,2025-10-27,41,0.657
10178,Grocery,169,InStore,2025-11-24,23,0.951
10084,Home,156,InStore,2025-11-10,27,0.895
10143,Grocery,252,Pickup,2025-10-27,37,0.634
10087,Apparel,212,InStore,2025-12-15,27,0.592
10012,Apparel,134,InStore,2025-11-24,26,0.538
10082,Home,156,InStore,2025-10-27,32,0.978
10021,Beauty,138,Pickup,2025-12-01,26,0.509
10114,Beauty,104,Pickup,2025-10-27,29,0.799
10060,Grocery,237,Pickup,2025-11-17,28,0.938
10005,Home,187,Online,2025-12-15,27,0.518
10032,Beauty,172,InStore,2025-10-20,27,0.795
10000,Grocery,183,Pickup,2025-11-24,29,0.54
10004,Home,101,InStore,2025-10-27,33,0.591
10135,Grocery,244,Online,2025-12-08,22,0.694
10044,Apparel,218,Online,2025-12-01,25,0.976
10021,Grocery,259,Online,2025-12-01,27,0.802
10070,Grocery,193,Online,2025-12-01,41,0.669
10046,Apparel,192,Online,2025-12-08,31,0.635
10074,Grocery,171,Online,2025-12-08,24,0.852
10035,Electronics,123,InStore,2025-12-01,28,0.968
10043,Grocery,110,InStore,2025-10-13,28,0.703
10041,Beauty,135,InStore,2025-11-17,27,0.501
10040,Electronics,161,InStore,2025-12-22,25,0.506
10088,Electronics,235,Online,2025-10-13,29,0.728
10094,Electronics,251,InStore,2025-10-13,38,0.623
10087,Grocery,192,Pickup,2025-11-24,26,0.581
10064,Home,249,InStore,2025-11-10,36,0.832
10093,Grocery,200,Pickup,2025-10-06,35,0.789
10140,Electronics,167,InStore,2025-11-17,36,0.543
