,budget_record_id,budget_ts,campaign_code_raw,region_code_raw,daily_budget_usd,budget_owner
0,B-CMP001-2026-01-05-NORTH,2026-01-05 12:00:00,Cmp001,NORTH,510,finance_ops
1,B-CMP001-2026-01-05-SOUTH,2026-01-05 12:00:00,cmp001,SOUTH,1309,growth_marketing
2,B-CMP001-2026-01-05-EAST,2026-01-05 12:00:00,CMP001,EAST,1343,growth_marketing
3,B-CMP001-2026-01-05-WEST,2026-01-05 12:00:00,Cmp001,WEST,390,growth_marketing
4,B-CMP001-2026-01-06-NORTH,2026-01-06 12:00:00,cmp001,NORTH,1304,growth_marketing
5,B-CMP001-2026-01-06-SOUTH,2026-01-06 12:00:00,cmp001,SOUTH,1037,brand_team
6,B-CMP001-2026-01-06-EAST,2026-01-06 12:00:00,Cmp001,EAST,398,finance_ops
7,B-CMP001-2026-01-06-WEST,2026-01-06 12:00:00,Cmp001,WEST,363,growth_marketing
8,B-CMP001-2026-01-07-NORTH,2026-01-07 12:00:00,cmp001,NORTH,704,finance_ops
9,B-CMP001-2026-01-07-SOUTH,2026-01-07 12:00:00,CMP001,SOUTH,1150,finance_ops
10,B-CMP001-2026-01-07-EAST,2026-01-07 12:00:00,cmp001,EAST,728,finance_ops
11,B-CMP001-2026-01-07-WEST,2026-01-07 12:00:00,CMP001,WEST,870,finance_ops
12,B-CMP001-2026-01-08-NORTH,2026-01-08 12:00:00,CMP001,NORTH,1410,growth_marketing
13,B-CMP001-2026-01-08-SOUTH,2026-01-08 12:00:00,Cmp001,SOUTH,1310,finance_ops
14,B-CMP001-2026-01-08-EAST,2026-01-08 12:00:00,Cmp001,EAST,884,growth_marketing
15,B-CMP001-2026-01-08-WEST,2026-01-08 12:00:00,CMP001,WEST,923,brand_team
16,B-CMP001-2026-01-09-NORTH,2026-01-09 12:00:00,Cmp001,NORTH,1347,growth_marketing
17,B-CMP001-2026-01-09-SOUTH,2026-01-09 12:00:00,Cmp001,SOUTH,1338,finance_ops
18,B-CMP001-2026-01-09-EAST,2026-01-09 12:00:00,cmp001,EAST,360,growth_marketing
19,B-CMP001-2026-01-09-WEST,2026-01-09 12:00:00,CMP001,WEST,1182,brand_team
20,B-CMP001-2026-01-10-NORTH,2026-01-10 12:00:00,Cmp001,NORTH,342,growth_marketing
21,B-CMP001-2026-01-10-SOUTH,2026-01-10 12:00:00,cmp001,SOUTH,459,brand_team
