,customer_id,entitlement_ts,market_raw,product_tier,activity_date
0,10011,2026-01-01 12:00:00,United States,FREE,2026-01-01
1,10075,2026-01-18 12:00:00,España,ENTERPRISE,2026-01-18
2,10183,2026-01-02 12:00:00,España,FREE,2026-01-02
3,10204,2026-01-04 12:00:00,Canada,FREE,2026-01-04
4,10010,2026-01-11 12:00:00,Brasil,PRO,2026-01-11
5,10174,2026-01-15 12:00:00,Canada,FREE,2026-01-15
6,10167,2026-01-10 12:00:00,Canada,FREE,2026-01-10
7,10081,2026-01-18 12:00:00,México,FREE,2026-01-18
8,10205,2026-01-04 12:00:00,Brasil,FREE,2026-01-04
9,10173,2026-01-03 12:00:00,España,PRO,2026-01-03
10,10103,2026-01-05 12:00:00,España,PRO,2026-01-05
11,10202,2026-01-03 12:00:00,Brasil,PRO,2026-01-03
12,10158,2026-01-14 12:00:00,Canada,FREE,2026-01-14
13,10189,2026-01-07 12:00:00,Canada,PRO,2026-01-07
14,10001,2026-01-15 12:00:00,España,ENTERPRISE,2026-01-15
15,10101,2026-01-17 12:00:00,México,ENTERPRISE,2026-01-17
16,10035,2026-01-10 12:00:00,México,FREE,2026-01-10
17,10067,2026-01-04 12:00:00,United States,PRO,2026-01-04
18,10172,2026-01-03 12:00:00,United States,PRO,2026-01-03
19,10167,2026-01-02 12:00:00,México,FREE,2026-01-02
20,10075,2026-01-04 12:00:00,Canada,PRO,2026-01-04
21,10175,2026-01-10 12:00:00,México,FREE,2026-01-10
22,10164,2026-01-13 12:00:00,Brasil,FREE,2026-01-13
23,10070,2026-01-05 12:00:00,España,FREE,2026-01-05
24,10182,2026-01-18 12:00:00,Brasil,PRO,2026-01-18
25,10014,2026-01-05 12:00:00,Brasil,PRO,2026-01-05
26,10018,2026-01-18 12:00:00,Brasil,FREE,2026-01-18
27,10116,2026-01-01 12:00:00,Canada,FREE,2026-01-01
28,10091,2026-01-14 12:00:00,Brasil,PRO,2026-01-14
29,10196,2026-01-03 12:00:00,United States,FREE,2026-01-03
30,10048,2026-01-11 12:00:00,Canada,PRO,2026-01-11
31,10153,2026-01-11 12:00:00,Brasil,FREE,2026-01-11
32,10039,2026-01-01 12:00:00,México,PRO,2026-01-01
33,10034,2026-01-13 12:00:00,Canada,FREE,2026-01-13
34,10054,2026-01-01 12:00:00,Canada,FREE,2026-01-01
35,10098,2026-01-18 12:00:00,España,PRO,2026-01-18
36,10033,2026-01-04 12:00:00,Canada,FREE,2026-01-04
37,10048,2026-01-15 12:00:00,Canada,FREE,2026-01-15
38,10199,2026-01-06 12:00:00,España,PRO,2026-01-06
39,10171,2026-01-08 12:00:00,Canada,PRO,2026-01-08
40,10028,2026-01-17 12:00:00,Canada,FREE,2026-01-17
41,10151,2026-01-16 12:00:00,United States,FREE,2026-01-16
42,10166,2026-01-13 12:00:00,United States,FREE,2026-01-13
43,10072,2026-01-13 12:00:00,España,ENTERPRISE,2026-01-13
44,10185,2026-01-11 12:00:00,Canada,FREE,2026-01-11
45,10189,2026-01-05 12:00:00,Brasil,PRO,2026-01-05
46,10178,2026-01-03 12:00:00,United States,FREE,2026-01-03
47,10153,2026-01-14 12:00:00,México,FREE,2026-01-14
48,10131,2026-01-06 12:00:00,Canada,ENTERPRISE,2026-01-06
49,10133,2026-01-12 12:00:00,México,FREE,2026-01-12
50,10122,2026-01-03 12:00:00,United States,FREE,2026-01-03
51,10145,2026-01-14 12:00:00,Canada,FREE,2026-01-14
52,10206,2026-01-13 12:00:00,Brasil,FREE,2026-01-13
53,10198,2026-01-02 12:00:00,United States,FREE,2026-01-02
54,10088,2026-01-13 12:00:00,United States,PRO,2026-01-13
55,10158,2026-01-11 12:00:00,España,ENTERPRISE,2026-01-11
56,10002,2026-01-05 12:00:00,United States,PRO,2026-01-05
57,10151,2026-01-06 12:00:00,España,FREE,2026-01-06
58,10108,2026-01-05 12:00:00,United States,FREE,2026-01-05
59,10055,2026-01-08 12:00:00,Canada,ENTERPRISE,2026-01-08
60,10170,2026-01-09 12:00:00,México,FREE,2026-01-09
61,10123,2026-01-11 12:00:00,Brasil,PRO,2026-01-11
62,10080,2026-01-08 12:00:00,United States,FREE,2026-01-08
63,10213,2026-01-03 12:00:00,México,PRO,2026-01-03
64,10132,2026-01-07 12:00:00,Canada,FREE,2026-01-07
65,10138,2026-01-12 12:00:00,España,PRO,2026-01-12
66,10013,2026-01-14 12:00:00,México,PRO,2026-01-14
67,10032,2026-01-03 12:00:00,Brasil,PRO,2026-01-03
68,10108,2026-01-17 12:00:00,Canada,ENTERPRISE,2026-01-17
69,10032,2026-01-04 12:00:00,Brasil,FREE,2026-01-04
70,10207,2026-01-10 12:00:00,México,PRO,2026-01-10
